ID;RTS_nr;JAHR;MPDS;PDS;KRIT_NR;AUSPRAEGUNG;LL_UG_NR;AUSPR2;RTS_TYP1;ANZ_S;ANZ_UG;MW_A_PR;MW_M_PR;MW_A_PW;MW_M_PW;filter_$
133094525;22;2017;1566080;1566081;1202;E22100;0;D579;9;370;79;1,063291;25,316456;,326943;7,699749;0
133094526;22;2017;1566080;1566081;1202;E22100;0;D573;9;370;223;1,017937;18,96861;,321094;6,012002;0
133094527;22;2017;1566080;1566081;1202;E22100;0;D571;9;370;2;1;22,5;,30463;6,513889;0
133094528;22;2017;1566080;1566081;1202;E22090;0;D599;9;370;55;2,6;159,818182;,765941;46,966737;0
133094529;22;2017;1566080;1566081;1202;E22090;0;D569;9;370;30;1,033333;23,333333;,307914;6,992654;0
133094530;22;2017;1566080;1566081;1202;E22090;0;D563;9;370;26;1;23,076923;,313116;7,282902;0
133094531;22;2017;1566080;1566081;1202;E22090;0;D562;9;370;27;1;25,925926;,294396;7,642448;0
133094532;22;2017;1566080;1566081;1202;E22090;0;D561;9;370;10;1,2;29,5;,358556;8,93537;0
133094533;22;2017;1566080;1566081;1202;E22090;0;D553;9;370;3;1;30;,35;10,5;0
133094534;22;2017;1566080;1566081;1202;E22090;0;D552;9;370;134;1,089552;30,410448;,330105;9,24888;0
133094535;22;2017;1566080;1566081;1202;E22090;0;D551;9;370;8;1;25;,298148;7,364583;0
133094536;22;2017;1566080;1566081;1202;E22080;0;F619;9;370;88;5,011364;159,204545;1,501925;47,669291;0
133094537;22;2017;1566080;1566081;1202;E22080;0;F612;9;370;217;4,797235;156,981567;1,476184;48,330053;0
133094538;22;2017;1566080;1566081;1202;E22080;0;F611;9;370;36;4,194444;155,277778;1,283637;47,728151;0
133094539;22;2017;1566080;1566081;1202;E22070;0;F578;9;370;7;3;180;,894444;53,666667;0
133094540;22;2017;1566080;1566081;1202;E22070;0;F571;9;370;6;3;270;,959259;86,333333;0
133094541;22;2017;1566080;1566081;1202;E22070;0;F560;9;370;239;2,757322;247,656904;,84524;75,895906;0
133094542;22;2017;1566080;1566081;1202;E22070;0;F555;9;370;33;1,060606;50,909091;,324153;15,599158;0
133094543;22;2017;1566080;1566081;1202;E22070;0;F554;9;370;60;1,4;73;,419415;21,993937;0
133094544;22;2017;1566080;1566081;1202;E22070;0;F553;9;370;1;1;45;,35;15,75;0
133094545;22;2017;1566080;1566081;1202;E22070;0;F552;9;370;2;1;60;,259259;15,555556;0
133094546;22;2017;1566080;1566081;1202;E22070;0;F551;9;370;6;1;60;,289506;17,37037;0
133094547;22;2017;1566080;1566081;1202;E22060;0;M622;9;370;221;1,004525;100,588235;,306723;30,816024;0
133094548;22;2017;1566080;1566081;1202;E22060;0;M621;9;370;3;1;180;,289506;52,111111;0
133094549;22;2017;1566080;1566081;1202;E22060;0;M600;9;370;331;1,220544;61,767372;,377065;19,131836;0
133094550;22;2017;1566080;1566081;1202;E22060;0;M590;9;370;20;1,35;41,25;,406087;12,602405;0
133094551;22;2017;1566080;1566081;1202;E22060;0;M552;9;370;65;1,384615;20,769231;,414306;6,214585;0
133094552;22;2017;1566080;1566081;1202;E22060;0;M551;9;370;43;1,023256;15,232558;,314056;4,680696;0
133094553;22;2017;1566080;1566081;1202;E22050;0;C631;9;370;3;1;45;,319753;14,388889;0
133094554;22;2017;1566080;1566081;1202;E22050;0;C620;9;370;178;1;60;,307184;18,431063;0
133094555;22;2017;1566080;1566081;1202;E22050;0;C613;9;370;367;3,389646;166,784741;1,057946;52,069134;0
133094556;22;2017;1566080;1566081;1202;E22050;0;C552;9;370;1;1;15;,205882;3,088235;0
133094557;22;2017;1566080;1566081;1202;E22040;0;C774;9;370;350;1,771429;106,285714;,55084;33,050408;0
133094558;22;2017;1566080;1566081;1202;E22030;0;K713;9;370;1;1;15;,259259;3,888889;0
133094559;22;2017;1566080;1566081;1202;E22030;0;K672;9;370;103;4,223301;130;1,271003;38,994715;0
133094560;22;2017;1566080;1566081;1202;E22030;0;K671;9;370;3;2,666667;150;,751852;41,611111;0
133094561;22;2017;1566080;1566081;1202;E22020;0;F620;9;370;61;5,065574;151,967213;1,502474;45,074233;0
133094562;22;2017;1566080;1566081;1202;E22020;0;E702;9;370;3;1,333333;40;,375926;11,277778;0
133094563;22;2017;1566080;1566081;1202;E22020;0;E653;9;370;9;6,777778;203,333333;2,190741;65,722222;0
133094564;22;2017;1566080;1566081;1202;E22020;0;E652;9;370;143;7,202797;216,083916;2,173191;65,195716;0
133094565;22;2017;1566080;1566081;1202;E22020;0;E651;9;370;50;5,22;433,8;1,518285;125,743646;0
133094566;22;2017;1566080;1566081;1202;E22020;0;E643;9;370;3;4;120;1,248765;37,462963;0
133094567;22;2017;1566080;1566081;1202;E22020;0;E642;9;370;2;5,5;165;1,425926;42,777778;0
133094568;22;2017;1566080;1566081;1202;E22010;0;L559;9;370;70;3,328571;249,642857;1,005281;75,396086;0
133094569;22;2017;1566080;1566081;1202;E22010;0;L552;9;370;1;4;120;1,037037;31,111111;0
133094570;22;2017;1566080;1566081;1202;E22010;0;L551;9;370;236;5,169492;155,084746;1,537842;46,135275;0
133094571;22;2017;1566080;1566081;1202;E22010;0;B609;9;370;150;3,553333;106,6;1,079697;32,390914;0
133094572;22;2017;1566080;1566081;1202;E22010;0;B604;9;370;165;4,090909;122,727273;1,219827;36,594801;0
133094573;22;2017;1566080;1566081;1202;E22010;0;B592;9;370;1;1;60;,35;21;0
133094574;22;2017;1566080;1566081;1202;E22010;0;B579;9;370;20;3,3;99;1,005278;30,158333;0
133094575;22;2017;1566080;1566081;1202;E22010;0;B574;9;370;140;4,664286;140,357143;1,388195;41,78421;0
133094576;22;2017;1566080;1566081;1202;E22010;0;B573;9;370;164;5,115854;154,878049;1,560754;47,25927;0
133094577;22;2017;1566080;1566081;1202;E22010;0;B572;9;370;97;3,814433;114,43299;1,15161;34,548295;0
133094578;22;2017;1566080;1566081;1202;E22010;0;B571;9;370;28;5,25;157,5;1,628768;48,863034;0
133094579;22;2017;1566080;1566081;1202;E22010;0;B564;9;370;1;1;40;,259259;10,37037;0
133094580;22;2017;1566080;1566081;1202;E22010;0;B554;9;370;261;4,091954;122,758621;1,236612;37,098347;0
133094581;22;2017;1566080;1566081;1202;E22010;0;B551;9;370;2;2;60;,627941;18,838235;0
133094582;22;2017;1566080;1566081;1202;E22010;0;A630;9;370;74;2,175676;130,540541;,660994;39,659652;0
133094583;22;2017;1566080;1566081;1202;E22010;0;A601;9;370;107;3,149533;147,570093;,978578;45,644138;0
133094584;22;2017;1566080;1566081;1202;E22010;0;A590;9;370;268;3,686567;168,432836;1,116893;51,061652;0
133094585;22;2017;1566080;1566081;1202;E22010;0;A569;9;370;31;3,483871;209,032258;1,058363;63,501792;0
133094586;22;2017;1566080;1566081;1202;E22010;0;A561;9;370;366;6,827869;379,344262;2,068446;114,66589;0
133094587;22;2017;1566080;1566081;1202;E22010;0;A552;9;370;359;7,167131;215,013928;2,162745;64,882363;0
133094588;22;2017;1566080;1566081;1202;E22010;0;A551;9;370;7;2,285714;86,428571;,644444;24,287037;0
133107227;22;2017;1566080;1566081;1204;E22010;;ETM_NR;;370;370;33,772973;1294,432432;10,199077;391,001057;0
133107228;22;2017;1566080;1566081;1204;E22010;;ETM_NR;1;370;10;10,6;370,5;3,383333;117,561111;0
133107229;22;2017;1566080;1566081;1204;E22010;;ETM_NR;3;370;25;18,8;694,4;5,691046;210,546732;0
133107230;22;2017;1566080;1566081;1204;E22010;;ETM_NR;4;370;335;35,58209;1366,791045;10,738952;412,630184;0
133107231;22;2017;1566080;1566081;1204;E22020;;ETM_NR;;370;370;4,562162;174,324324;1,366957;51,84588;0
133107232;22;2017;1566080;1566081;1204;E22020;;ETM_NR;0;370;137;0;0;0;0;0
133107233;22;2017;1566080;1566081;1204;E22020;;ETM_NR;1;370;28;3,285714;98,571429;,94325;28,297515;0
133107234;22;2017;1566080;1566081;1204;E22020;;ETM_NR;3;370;45;5,533333;166;1,653219;49,596562;0
133107235;22;2017;1566080;1566081;1204;E22020;;ETM_NR;4;370;160;8,41875;339,1875;2,531051;100,9925;0
133107236;22;2017;1566080;1566081;1204;E22030;;ETM_NR;;370;370;1,2;37,445946;,360617;11,203183;0
133107237;22;2017;1566080;1566081;1204;E22030;;ETM_NR;0;370;267;0;0;0;0;0
133107238;22;2017;1566080;1566081;1204;E22030;;ETM_NR;1;370;57;3,157895;92,017544;,940915;27,299566;0
133107239;22;2017;1566080;1566081;1204;E22030;;ETM_NR;3;370;37;5,297297;169,459459;1,56736;49,90067;0
133107240;22;2017;1566080;1566081;1204;E22030;;ETM_NR;4;370;9;7,555556;260;2,422634;82,530864;0
133107241;22;2017;1566080;1566081;1204;E22040;;ETM_NR;;370;370;1,675676;100,540541;,521065;31,263899;0
133107242;22;2017;1566080;1566081;1204;E22040;;ETM_NR;0;370;20;0;0;0;0;0
133107243;22;2017;1566080;1566081;1204;E22040;;ETM_NR;1;370;91;1;60;,318022;19,081321;0
133107244;22;2017;1566080;1566081;1204;E22040;;ETM_NR;4;370;259;2,042471;122,548263;,632641;37,958465;0
133107245;22;2017;1566080;1566081;1204;E22050;;ETM_NR;;370;370;3,854054;194,702703;1,200298;60,638801;0
133107246;22;2017;1566080;1566081;1204;E22050;;ETM_NR;0;370;3;0;0;0;0;0
133107247;22;2017;1566080;1566081;1204;E22050;;ETM_NR;1;370;34;1,735294;79,117647;,54887;24,795355;0
133107248;22;2017;1566080;1566081;1204;E22050;;ETM_NR;3;370;87;2,965517;145,517241;,922589;45,307832;0
133107249;22;2017;1566080;1566081;1204;E22050;;ETM_NR;4;370;246;4,50813;230,447154;1,403184;71,754198;0
133107250;22;2017;1566080;1566081;1204;E22060;;ETM_NR;;370;370;2,135135;124,445946;,654105;38,261023;0
133107251;22;2017;1566080;1566081;1204;E22060;;ETM_NR;0;370;21;0;0;0;0;0
133107252;22;2017;1566080;1566081;1204;E22060;;ETM_NR;1;370;9;1;15;,30374;4,5561;0
133107253;22;2017;1566080;1566081;1204;E22060;;ETM_NR;3;370;5;1,2;30;,401852;9,955556;0
133107254;22;2017;1566080;1566081;1204;E22060;;ETM_NR;4;370;335;2,313433;136,597015;,708287;41,98745;0
133107255;22;2017;1566080;1566081;1204;E22070;;ETM_NR;;370;370;2,232432;185,554054;,682423;56,806162;0
133107256;22;2017;1566080;1566081;1204;E22070;;ETM_NR;0;370;93;0;0;0;0;0
133107257;22;2017;1566080;1566081;1204;E22070;;ETM_NR;1;370;54;1,444444;96,574074;,442902;29,279085;0
133107258;22;2017;1566080;1566081;1204;E22070;;ETM_NR;3;370;111;3,081081;264,864865;,844101;72,388783;0
133107259;22;2017;1566080;1566081;1204;E22070;;ETM_NR;4;370;112;3,625;303,928571;1,204328;101,804057;0
133107260;22;2017;1566080;1566081;1204;E22080;;ETM_NR;;370;370;4,413514;145,040541;1,347871;44,326304;0
133107261;22;2017;1566080;1566081;1204;E22080;;ETM_NR;0;370;30;0;0;0;0;0
133107262;22;2017;1566080;1566081;1204;E22080;;ETM_NR;1;370;86;3,290698;108,488372;,952899;31,47231;0
133107263;22;2017;1566080;1566081;1204;E22080;;ETM_NR;3;370;182;4,895604;161,346154;1,491444;49,202118;0
133107264;22;2017;1566080;1566081;1204;E22080;;ETM_NR;4;370;72;6,375;207,916667;2,018338;65,824006;0
133107265;22;2017;1566080;1566081;1204;E22090;;ETM_NR;;370;370;1,07027;41,756757;,320834;12,453438;0
133107266;22;2017;1566080;1566081;1204;E22090;;ETM_NR;0;370;223;0;0;0;0;0
133107267;22;2017;1566080;1566081;1204;E22090;;ETM_NR;1;370;41;1,04878;26,463415;,322809;8,122403;0
133107268;22;2017;1566080;1566081;1204;E22090;;ETM_NR;3;370;19;1,631579;41,842105;,494639;12,662768;0
133107269;22;2017;1566080;1566081;1204;E22090;;ETM_NR;4;370;87;3,701149;155,977011;1,104315;46,369665;0
133107270;22;2017;1566080;1566081;1204;E22100;;ETM_NR;;370;370;,845946;16,959459;,264977;5,302661;0
133107271;22;2017;1566080;1566081;1204;E22100;;ETM_NR;0;370;105;0;0;0;0;0
133107272;22;2017;1566080;1566081;1204;E22100;;ETM_NR;4;370;265;1,181132;23,679245;,369969;7,403715;0
133094653;22;2017;1566080;1566082;1202;E22100;0;D584;9;193;49;1;30;,327531;9,825935;0
133094654;22;2017;1566080;1566082;1202;E22100;0;D579;9;193;5;1;15;,295556;4,433333;0
