PDS,ANZ_S,RTS_E22100.0,RTS_E22100.1,RTS_E22100.3,RTS_E22100.3.MW_A_PR,RTS_E22100.3.MW_M_PR,RTS_E22100.3.MW_A_PW,RTS_E22100.3.MW_M_PW,RTS_E22100.4,RTS_E22100.4.MW_A_PR,RTS_E22100.4.MW_M_PR,RTS_E22100.4.MW_A_PW,RTS_E22100.4.MW_M_PW,RTS_E22100.9,RTS_E22090.0,RTS_E22090.1,RTS_E22090.3,RTS_E22090.3.MW_A_PR,RTS_E22090.3.MW_M_PR,RTS_E22090.3.MW_A_PW,RTS_E22090.3.MW_M_PW,RTS_E22090.4,RTS_E22090.4.MW_A_PR,RTS_E22090.4.MW_M_PR,RTS_E22090.4.MW_A_PW,RTS_E22090.4.MW_M_PW,RTS_E22090.9,RTS_E22080.0,RTS_E22080.1,RTS_E22080.3,RTS_E22080.3.MW_A_PR,RTS_E22080.3.MW_M_PR,RTS_E22080.3.MW_A_PW,RTS_E22080.3.MW_M_PW,RTS_E22080.4,RTS_E22080.4.MW_A_PR,RTS_E22080.4.MW_M_PR,RTS_E22080.4.MW_A_PW,RTS_E22080.4.MW_M_PW,RTS_E22080.9,RTS_E22070.0,RTS_E22070.1,RTS_E22070.3,RTS_E22070.3.MW_A_PR,RTS_E22070.3.MW_M_PR,RTS_E22070.3.MW_A_PW,RTS_E22070.3.MW_M_PW,RTS_E22070.4,RTS_E22070.4.MW_A_PR,RTS_E22070.4.MW_M_PR,RTS_E22070.4.MW_A_PW,RTS_E22070.4.MW_M_PW,RTS_E22070.9,RTS_E22060.0,RTS_E22060.1,RTS_E22060.3,RTS_E22060.3.MW_A_PR,RTS_E22060.3.MW_M_PR,RTS_E22060.3.MW_A_PW,RTS_E22060.3.MW_M_PW,RTS_E22060.4,RTS_E22060.4.MW_A_PR,RTS_E22060.4.MW_M_PR,RTS_E22060.4.MW_A_PW,RTS_E22060.4.MW_M_PW,RTS_E22060.9,RTS_E22050.0,RTS_E22050.1,RTS_E22050.3,RTS_E22050.3.MW_A_PR,RTS_E22050.3.MW_M_PR,RTS_E22050.3.MW_A_PW,RTS_E22050.3.MW_M_PW,RTS_E22050.4,RTS_E22050.4.MW_A_PR,RTS_E22050.4.MW_M_PR,RTS_E22050.4.MW_A_PW,RTS_E22050.4.MW_M_PW,RTS_E22050.9,RTS_E22040.0,RTS_E22040.1,RTS_E22040.3,RTS_E22040.3.MW_A_PR,RTS_E22040.3.MW_M_PR,RTS_E22040.3.MW_A_PW,RTS_E22040.3.MW_M_PW,RTS_E22040.4,RTS_E22040.4.MW_A_PR,RTS_E22040.4.MW_M_PR,RTS_E22040.4.MW_A_PW,RTS_E22040.4.MW_M_PW,RTS_E22040.9,RTS_E22030.0,RTS_E22030.1,RTS_E22030.3,RTS_E22030.3.MW_A_PR,RTS_E22030.3.MW_M_PR,RTS_E22030.3.MW_A_PW,RTS_E22030.3.MW_M_PW,RTS_E22030.4,RTS_E22030.4.MW_A_PR,RTS_E22030.4.MW_M_PR,RTS_E22030.4.MW_A_PW,RTS_E22030.4.MW_M_PW,RTS_E22030.9,RTS_E22020.0,RTS_E22020.1,RTS_E22020.3,RTS_E22020.3.MW_A_PR,RTS_E22020.3.MW_M_PR,RTS_E22020.3.MW_A_PW,RTS_E22020.3.MW_M_PW,RTS_E22020.4,RTS_E22020.4.MW_A_PR,RTS_E22020.4.MW_M_PR,RTS_E22020.4.MW_A_PW,RTS_E22020.4.MW_M_PW,RTS_E22020.9,RTS_E22010.0,RTS_E22010.1,RTS_E22010.3,RTS_E22010.3.MW_A_PR,RTS_E22010.3.MW_M_PR,RTS_E22010.3.MW_A_PW,RTS_E22010.3.MW_M_PW,RTS_E22010.4,RTS_E22010.4.MW_A_PR,RTS_E22010.4.MW_M_PR,RTS_E22010.4.MW_A_PW,RTS_E22010.4.MW_M_PW,RTS_E22010.9
1566081,370,105,,,,,,,265,"1,181132","23,679245",",369969","7,403715",,223,41,19,"1,631579","41,842105",",494639","12,662768",87,"3,701149","155,977011","1,104315","46,369665",,30,86,182,"4,895604","161,346154","1,491444","49,202118",72,"6,375","207,916667","2,018338","65,824006",,93,54,111,"3,081081","264,864865",",844101","72,388783",112,"3,625","303,928571","1,204328","101,804057",,21,9,5,"1,2",30,",401852","9,955556",335,"2,313433","136,597015",",708287","41,98745",,3,34,87,"2,965517","145,517241",",922589","45,307832",246,"4,50813","230,447154","1,403184","71,754198",,20,91,,,,,,259,"2,042471","122,548263",",632641","37,958465",,267,57,37,"5,297297","169,459459","1,56736","49,90067",9,"7,555556",260,"2,422634","82,530864",,137,28,45,"5,533333",166,"1,653219","49,596562",160,"8,41875","339,1875","2,531051","100,9925",,,10,25,"18,8","694,4","5,691046","210,546732",335,"35,58209","1366,791045","10,738952","412,630184",
1566082,193,35,,,,,,,158,"1,063291","21,170886",",323264","6,523117",,10,6,,,,,,177,"1,813559","87,118644",",539748","26,109117",,7,30,18,"3,666667","171,666667","1,074763","50,363189",138,"5,884058","265,833333","1,764098","79,803812",,21,23,37,"4,621622","241,216216","1,36359","71,762128",112,"7,491071","571,205357","2,240734","171,163586",,33,,8,1,30,",30463","9,138889",152,"1,710526","160,460526",",520559","48,637415",,,5,8,"3,5","127,5","1,019462","37,475427",180,"4,422222",216,"1,337437","66,071852",,5,2,1,2,90,",538462","24,230769",185,"2,940541","176,27027",",896803","53,766156",,131,4,23,"5,782609","184,565217","1,738667","55,626181",35,"7,171429","226,285714","2,106169","66,77395",,114,4,2,2,180,",528491","47,564103",73,"5,410959","482,671233","1,610615","143,743788",,,4,42,"16,809524","680,357143","5,238402","212,123914",147,"24,435374","1012,585034","7,253939","300,929901",
1566083,410,,,,,,,,410,"1,004878","20,097561",",328317","6,566348",,2,2,,,,,,406,"2,561576","101,157635",",831288","32,90582",,52,26,106,"3,386792","150,707547","1,092314","48,768052",226,"7,088496","342,809735","2,292222","110,874577",,85,71,41,"3,609756","243,658537","1,152693","76,660915",213,"6,638498","469,577465","2,111112","149,801212",,25,,,,,,,385,"12,020779","277,558442","3,843416","89,412115",,,5,34,"3,088235","163,823529","1,024304","54,239002",371,"5,175202","238,733154","1,681973","77,701137",,49,,,,,,,361,2,180,",654215","58,879375",,240,18,14,"5,142857","205,714286","1,689671","67,586821",138,"6,775362","275,217391","2,149524","87,307327",,72,84,49,"4,387755","166,22449","1,330171","51,444265",205,"8,492683",307,"2,709969","98,182058",,,16,41,"22,536585","680,487805","7,007791","211,827233",353,"31,025496","1028,923513","9,89365","327,997726",
1566084,97,,,,,,,,97,"1,123711","16,85567",",365552","5,483285",,,24,11,2,45,",693922","15,613238",62,"2,983871","86,854839",",982579","28,684099",,6,5,18,"5,111111",155,"1,6268","49,3117",68,"8,485294","264,705882","2,765692","86,262404",,1,7,8,"3,75","236,25","1,187732","75,881945",81,"7,901235","499,444444","2,571253","162,96152",,1,,6,1,30,",35","10,5",90,"3,433333","183,166667","1,119618","59,301385",,,,7,"4,714286","144,285714","1,578148","47,355556",90,"7,655556","270,444444","2,525934","89,355202",,7,28,,,,,,62,"2,193548","131,612903",",738152","44,289105",,84,4,2,"4,5",135,"1,672222","50,166667",7,"11,714286","617,142857","3,545419","190,418129",,27,16,5,"5,6",165,"1,58886","47,432478",49,"20,632653","560,102041","6,93544","187,443458",,,,1,34,850,"8,814815","220,37037",96,"53,458333","1713,4375","17,414838","558,947581",
1566085,495,12,,,,,,,483,"1,062112","16,645963",",349725","5,458054",,10,,2,1,45,",35","15,75",483,"2,643892","143,385093",",8642","46,999318",,1,23,14,"3,642857","143,571429","1,160204","46,747768",457,"12,737418","433,588621","4,151801","141,340819",,20,33,81,"3,518519","211,851852","1,189339","71,562511",361,"9,814404","645,955679","3,137761","206,362914",,1,2,1,2,30,",7","10,5",491,"4,663951","212,759674","1,531543","69,811628",,,,,,,,,495,"12,509091",357,"4,109584","117,560567",,35,75,,,,,,385,2,120,",658876","39,532528",,356,43,38,"4,710526","188,421053","1,58615","63,445983",58,"8,62069","319,741379","2,63355","97,862836",,165,57,40,"3,025","151,125",",978978","48,569667",233,"13,424893","602,253219","4,240331","190,035331",,,5,16,"16,875","591,5625","5,730696","201,702851",474,"45,481013","1551,065401","14,775867","503,636849",
1566086,190,52,,,,,,,138,"1,014493","60,217391",",336451","19,958819",,13,1,,,,,,176,"2,164773","111,818182",",704639","36,615794",,10,95,15,"3,333333","166,333333","1,063827","53,195679",70,"4,971429","244,357143","1,680948","82,617756",,9,18,28,"4,178571","225,714286","1,394444","75,451389",135,"11,318519","615,259259","3,727727","202,729798",,114,,23,1,30,",336904","10,107133",53,"2,188679","238,867925",",728622","78,872117",,5,110,65,"4,276923","142,846154","1,427989","47,664312",10,"5,5",189,"1,72537","59,026852",,1,12,,,,,,177,"3,384181","203,050847","1,119223","67,15336",,87,25,18,"6,166667","174,166667","1,931482","54,455247",60,"7,316667","236,75","2,392025","77,149466",,105,2,10,"4,4",153,"1,371667","47,744444",73,"10,246575","327,328767","3,421533","109,137233",,,4,10,"18,9","571,5","6,701471","202,619118",176,"43,096591","1472,642045","14,11082","481,846178",
1566087,626,17,,,,,,,609,"1,316913","19,901478",",42802","6,465312",,15,262,69,2,45,",649599","14,615965",280,"3,7","107,464286","1,169072","34,03173",,22,22,64,"4,453125","149,53125","1,417337","47,887448",518,"11,162162","380,637066","3,634571","123,87761",,172,117,37,"3,837838","218,648649","1,269026","71,527452",300,"9,483333","537,5","3,048221","173,003527",,42,,7,1,30,",337037","10,111111",577,"2,655113","96,993068",",873186","31,915903",,,29,241,"5,195021","146,908714","1,73908","49,30927",356,"8,11236","237,022472","2,606827","76,354102",,20,,4,2,90,",665","29,925",602,"4,229236","245,581395","1,39205","80,843767",,504,33,48,"5,270833",220,"1,606242","67,216374",41,"6,512195","269,268293","2,129032","88,234444",,104,219,24,"4,291667","161,25","1,356199","50,705207",279,"7,978495","383,673835","2,552088","122,736059",,,6,36,"21,916667","601,388889","7,340755","201,232422",584,"41,05137","1185,547945","13,274177","382,715376",
1566088,48,1,,,,,,,47,"1,085106","17,12766",",3591","5,664009",,3,1,3,1,45,",319753","14,388889",41,"3,609756","155,487805","1,189793","51,254391",,17,6,5,"2,8",138,",930741","46,083333",20,"8,6","382,5","2,80724","125,022641",,5,14,9,"3,555556","211,666667","1,121399","66,768519",20,"8,45",579,"2,768771","188,837241",,3,,1,1,30,",388889","11,666667",44,"2,159091","182,386364",",70632","59,904862",,,5,16,"4,3125","147,1875","1,422328","48,562024",27,"8,222222","257,962963","2,751591","86,00265",,48,,,,,,,,,,,,,18,2,13,"5,461538","175,384615","1,728551","55,894996",15,"7,533333",256,"2,40602","82,68061",,1,4,1,3,180,",875","52,5",42,"9,547619","519,642857","3,123346","170,071477",,,2,1,35,1050,7,210,45,"42,466667","1494,111111","13,945894","491,230435",
1566089,342,16,,,,,,,326,"1,055215","47,254601",",353292","15,842678",,122,53,6,2,45,",669753","15,069445",161,"2,720497","106,21118",",884653","34,428492",,2,10,6,"3,833333",140,"1,235803","45,824074",324,"7,41358","275,648148","2,455646","91,281944",,21,23,47,"2,851064","238,085106",",891686","74,410166",251,"5,031873","432,191235","1,680537","144,545014",,,,,,,,,342,"6,751462","166,842105","2,20799","55,301695",,,,2,5,"142,5","1,75","49,875",340,"7,138235","236,985294","2,360192","78,911792",,18,26,,,,,,298,"2,006711","120,402685",",672009","40,320521",,307,11,6,"4,666667",145,"1,622222","50,375",18,"8,444444","313,333333","2,663169","97,719136",,1,118,11,"4,909091","155,454545","1,577946","49,459596",212,"12,849057","390,424528","4,225702","128,266092",,,6,16,21,"643,125","6,716667","204,902778",320,"48,259375","1502,34375","15,907765","495,052915",
1566090,29,1,,,,,,,28,"1,607143","52,857143",",543056","17,851852",,1,,,,,,,28,"6,428571","190,714286","2,113889","62,763889",,7,,2,"2,5","127,5",",875","44,625",20,"5,75","305,25","1,912685","101,256944",,14,15,,,,,,,,,,,,,11,,,,,,18,"24,5","68,333333","7,82891","22,177469",,,,1,4,150,"1,4","52,5",28,"10,25","350,357143","3,383333","115,965278",,29,,,,,,,,,,,,,12,1,6,"5,166667",155,"1,702469","51,074074",10,"6,9",234,"2,260741","74,822222",,12,8,4,"4,5",135,"1,575","47,25",5,"6,8",330,"2,38","115,5",,2,1,3,"17,666667",790,"5,42716","253,814815",23,"34,26087","1362,826087","11,316667","454,757649",
