PDS;ANZ_S;RTS_E25100.0;RTS_E25100.1;RTS_E25100.3;RTS_E25100.4;RTS_E25100.9;RTS_E25090.0;RTS_E25090.1;RTS_E25090.3;RTS_E25090.4;RTS_E25090.9;RTS_E25080.0;RTS_E25080.1;RTS_E25080.3;RTS_E25080.4;RTS_E25080.9;RTS_E25070.0;RTS_E25070.1;RTS_E25070.3;RTS_E25070.4;RTS_E25070.9;RTS_E25060.0;RTS_E25060.1;RTS_E25060.3;RTS_E25060.4;RTS_E25060.9;RTS_E25050.0;RTS_E25050.1;RTS_E25050.3;RTS_E25050.4;RTS_E25050.9;RTS_E25040.0;RTS_E25040.1;RTS_E25040.3;RTS_E25040.4;RTS_E25040.9;RTS_E25030.0;RTS_E25030.1;RTS_E25030.3;RTS_E25030.4;RTS_E25030.9;RTS_E25020.0;RTS_E25020.1;RTS_E25020.3;RTS_E25020.4;RTS_E25020.9;RTS_E25010.0;RTS_E25010.1;RTS_E25010.3;RTS_E25010.4;RTS_E25010.9
1666436;129;124;;;5;;103;1;6;19;;116;;1;12;;52;29;24;24;;39;31;18;41;;;1;1;127;;;;;129;;1;1;1;126;;50;50;17;12;;;23;54;52;
1666437;43;;;;43;;;;;43;;42;;;1;;1;31;11;;;5;19;5;14;;5;18;8;12;;;;;43;;5;3;1;34;;20;13;8;2;;;;3;40;
1666438;38;38;;;;;2;1;12;23;;38;;;;;12;;2;24;;23;2;;13;;;2;4;32;;;1;3;34;;1;8;12;17;;32;1;;5;;1;;6;31;
1666439;1218;10;;;1208;;1;4;1;1212;;1122;2;6;88;;408;34;269;507;;354;62;20;782;;;1;2;1215;;;1;5;1212;;1;17;74;1126;;983;47;27;161;;;36;104;1078;
1666440;37;36;;;1;;;1;;36;;35;;;2;;12;6;5;14;;18;3;;16;;1;7;1;28;;;;;37;;2;1;21;13;;22;7;2;6;;;1;5;31;
1666441;178;5;;;173;;48;1;1;128;;166;3;3;6;;112;19;37;10;;42;36;43;57;;;;37;141;;;;1;177;;2;7;7;162;;151;5;7;15;;;8;27;143;
1666442;133;14;;;119;;;;;133;;116;5;3;9;;54;30;21;28;;58;16;;59;;;;;133;;;;1;132;;9;7;14;103;;117;3;1;12;;;10;17;106;
1666443;33;;;;33;;3;;1;29;;28;;;5;;1;2;6;24;;3;24;4;2;;2;2;5;24;;;2;4;27;;;4;5;24;;31;;;2;;;;2;31;
1666444;176;;;;176;;3;;;173;;176;;;;;64;62;35;15;;143;6;9;18;;2;;1;173;;;1;5;170;;;7;36;133;;89;67;8;12;;;4;;172;
1666445;288;14;;;274;;22;2;3;261;;283;3;2;;;32;54;107;95;;48;124;;116;;;;;288;;;;1;287;;7;6;14;261;;8;121;16;143;;;2;13;273;
1666446;278;;;;278;;;;;278;;274;;2;2;;113;32;28;105;;33;74;22;149;;9;6;2;261;;;22;31;225;;18;74;26;160;;1;193;12;72;;;6;3;269;
1666447;619;11;5;;603;;5;21;6;587;;457;25;;137;;70;138;188;223;;251;122;55;191;;5;18;230;366;;;;;619;;4;2;39;574;;103;284;94;138;;;88;195;336;
1666448;25;12;;;13;;4;;;21;;21;1;;3;;10;1;;14;;11;5;;9;;;;7;18;;;;;25;;2;11;12;;;23;2;;;;;;1;24;
1666449;118;;;;118;;1;;;117;;107;1;1;9;;46;14;27;31;;7;28;16;67;;;8;15;95;;;2;24;92;;;1;6;111;;94;3;5;16;;;5;13;100;
1666450;318;2;;;316;;;1;;317;;269;3;3;43;;99;12;42;165;;35;30;14;239;;;6;5;307;;;1;1;316;;;;;318;;183;7;6;122;;;;21;297;
1666451;340;;;;340;;;;;340;;336;2;1;1;;215;6;23;96;;213;62;6;59;;;1;3;336;;;1;2;337;;3;1;8;328;;252;15;13;60;;;8;11;321;
1666452;27;;;;27;;;;;27;;23;1;;3;;10;5;8;4;;;21;;6;;;1;3;23;;;;3;24;;5;;11;11;;22;4;1;;;;;;27;
1666453;50;2;;;48;;1;;;49;;49;;;1;;9;6;6;29;;16;8;;26;;;1;1;48;;;1;;49;;3;4;5;38;;1;28;7;14;;;2;3;45;
1666454;122;9;;;113;;;5;1;116;;97;19;;6;;65;13;12;32;;25;60;2;35;;;2;9;111;;;;;122;;1;3;16;102;;113;1;;8;;;2;15;105;
1666455;150;33;;;117;;;;;150;;101;19;3;27;;19;23;40;68;;;13;5;132;;;2;9;139;;;1;6;143;;6;3;13;128;;25;19;27;79;;;;9;141;
1666456;128;126;;;2;;1;36;3;88;;122;4;;2;;23;4;10;91;;7;40;36;45;;;;;128;;;1;3;124;;2;1;4;121;;110;3;5;10;;;3;3;122;
1666457;154;1;;;153;;2;;;152;;140;2;4;8;;101;22;12;19;;96;3;6;49;;1;6;;147;;1;24;68;61;;2;4;4;144;;84;39;6;25;;;7;13;134;
