ID;RTS_nr;JAHR;MPDS;PDS;KRIT_NR;AUSPRAEGUNG;LL_UG_NR;AUSPR2;RTS_TYP1;ANZ_S;ANZ_UG;MW_A_PR;MW_M_PR;MW_A_PW;MW_M_PW;filter_$
233589870;55;2021;7821119;7821122;1202;E55010;0;A551;9;418;345;4,553623;151,608696;1,416438;47,245416;0
233589872;55;2021;7821119;7821122;1202;E55010;0;A552;9;418;386;6,251295;288,341969;1,932543;88,744521;0
233589874;55;2021;7821119;7821122;1202;E55010;0;A562;9;418;274;5,109489;153,284672;1,581349;47,440477;0
233589876;55;2021;7821119;7821122;1202;E55010;0;A630;9;418;197;1,13198;33,959391;,358853;10,765577;0
233589878;55;2021;7821119;7821122;1202;E55010;0;B551;9;418;12;4,666667;140;1,353549;40,606481;0
233589879;55;2021;7821119;7821122;1202;E55010;0;B559;9;418;1;1;30;,35;10,5;0
233589881;55;2021;7821119;7821122;1202;E55010;0;B573;9;418;35;5,285714;158,571429;1,576985;47,309563;0
233589883;55;2021;7821119;7821122;1202;E55010;0;B603;9;418;23;4;81,304348;1,258838;25,633284;0
233589884;55;2021;7821119;7821122;1202;E55010;0;L552;9;418;1;1;60;,35;21;0
233589886;55;2021;7821119;7821122;1202;E55020;0;F551;9;418;222;1,671171;50,135135;,512178;15,365331;0
233589888;55;2021;7821119;7821122;1202;E55020;0;F554;9;418;229;1,755459;52,79476;,540335;16,255911;0
233589890;55;2021;7821119;7821122;1202;E55020;0;F571;9;418;24;3,333333;100;1,147762;34,43287;0
233589892;55;2021;7821119;7821122;1202;E55020;0;F575;9;418;95;1,505263;90,315789;,451408;27,0845;0
233589894;55;2021;7821119;7821122;1202;E55020;0;F701;9;418;33;1,484848;74,242424;,439955;21,997755;0
233589896;55;2021;7821119;7821122;1202;E55030;0;F609;9;418;303;11,244224;337,326733;3,462452;103,873558;0
233589898;55;2021;7821119;7821122;1202;E55030;0;F612;9;418;87;2,954023;88,62069;,895613;26,868387;0
233589900;55;2021;7821119;7821122;1202;E55030;0;F619;9;418;323;4,136223;170,01548;1,269527;52,059076;0
233589902;55;2021;7821119;7821122;1202;E55040;0;C552;9;418;54;1,166667;17,5;,364643;5,46965;0
233589904;55;2021;7821119;7821122;1202;E55040;0;C611;9;418;297;1,003367;30,151515;,315454;9,481286;0
233589906;55;2021;7821119;7821122;1202;E55040;0;C613;9;418;179;1;60;,321895;19,313671;0
233589907;55;2021;7821119;7821122;1202;E55040;0;C620;9;418;1;4;165;1,4;57,75;0
233589909;55;2021;7821119;7821122;1202;E55040;0;C634;9;418;83;1,024096;61,445783;,324551;19,473072;0
233589911;55;2021;7821119;7821122;1202;E55040;0;C639;9;418;113;1,00885;44,867257;,311841;14,042315;0
233589912;55;2021;7821119;7821122;1202;E55050;0;C776;9;418;1;1;45;,35;15,75;0
233589914;55;2021;7821119;7821122;1202;E55050;0;C778;9;418;322;1,145963;54,92236;,359668;17,231937;0
233589916;55;2021;7821119;7821122;1202;E55060;0;C632;9;418;359;1,013928;60,835655;,320322;19,21933;0
233589918;55;2021;7821119;7821122;1202;E55060;0;M621;9;418;14;1;90;,331871;29,868421;0
233589920;55;2021;7821119;7821122;1202;E55070;0;C551;9;418;60;1,066667;17;,327963;5,246759;0
233589922;55;2021;7821119;7821122;1202;E55070;0;D552;9;418;107;1,074766;16,121495;,335149;5,027231;0
233589924;55;2021;7821119;7821122;1202;E55070;0;D553;9;418;32;1,03125;15,46875;,308228;4,623417;0
233589926;55;2021;7821119;7821122;1202;E55070;0;D562;9;418;74;1,094595;16,418919;,337513;5,062688;0
233589928;55;2021;7821119;7821122;1202;E55070;0;D563;9;418;110;1,118182;16,909091;,338786;5,117145;0
233589930;55;2021;7821119;7821122;1202;E55070;0;D595;9;418;280;1,828571;82,285714;,57384;25,822819;0
233589932;55;2021;7821119;7821122;1202;E55070;0;D599;9;418;403;1;30;,316482;9,494447;0
233589934;55;2021;7821119;7821122;1202;E55080;0;D572;9;418;7;1,285714;19,285714;,424074;6,361111;0
233589936;55;2021;7821119;7821122;1202;E55080;0;D573;9;418;297;1,154882;17,323232;,364381;5,465718;0
233589938;55;2021;7821119;7821122;1202;E55080;0;D594;9;418;337;2,72997;137,35905;,858295;43,157384;0
233589939;55;2021;7821119;7821122;1202;E55090;0;E580;9;418;4;1;30;,259259;7,777778;0
233589941;55;2021;7821119;7821122;1202;E55090;0;E642;9;418;6;4,333333;130;1,289815;38,694444;0
233589942;55;2021;7821119;7821122;1202;E55090;0;E651;9;418;7;2,428571;90;,681481;26,444444;0
