PDS;ANZ_S;RTS_1.0;RTS_1.1;RTS_1.3;RTS_1.4;RTS_1.9;RTS_2.0;RTS_2.1;RTS_2.3;RTS_2.4;RTS_2.9;RTS_3.0;RTS_3.1;RTS_3.3;RTS_3.4;RTS_3.9;RTS_4.0;RTS_4.1;RTS_4.3;RTS_4.4;RTS_4.9;RTS_5.0;RTS_5.1;RTS_5.3;RTS_5.4;RTS_5.9;RTS_6.0;RTS_6.1;RTS_6.3;RTS_6.4;RTS_6.9;RTS_7.0;RTS_7.1;RTS_7.3;RTS_7.4;RTS_7.9;RTS_8.0;RTS_8.1;RTS_8.3;RTS_8.4;RTS_8.9;RTS_9.0;RTS_9.1;RTS_9.3;RTS_9.4;RTS_9.9;RTS_10.0;RTS_10.1;RTS_10.3;RTS_10.4;RTS_10.9;RTS_11.0;RTS_11.1;RTS_11.3;RTS_11.4;RTS_11.9;RTS_12.0;RTS_12.1;RTS_12.3;RTS_12.4;RTS_12.9;RTS_13.0;RTS_13.1;RTS_13.3;RTS_13.4;RTS_13.9;RTS_14.0;RTS_14.1;RTS_14.3;RTS_14.4;RTS_14.9
1666475;145;;10;32;103;;;;58;87;;;;;145;;74;20;;51;;14;74;46;11;;6;109;29;1;;;1;1;143;;;;1;144;;87;;1;57;;;11;17;117;;;;;145;;11;;;134;;;35;4;53;;;26;7;20;
1666476;310;;;;310;;;;7;303;;;;;310;;188;13;8;101;;275;;1;34;;18;4;42;246;;;;;310;;;2;10;298;;50;;;260;;;262;41;7;;;;;310;;287;;;23;;;63;12;101;;;35;36;63;
1666477;80;;;2;78;;;;2;78;;;;;80;;54;3;;23;;49;2;18;11;;;1;11;68;;;;3;77;;;;;80;;9;;2;69;;;;5;75;;;;;80;;42;18;2;18;;;;;45;;;;1;34;
1666478;78;;;2;76;;;3;47;28;;;;;78;;4;;;74;;73;2;2;1;;17;16;14;31;;;;1;77;;;;;78;;;;;78;;;;;78;;1;4;5;68;;2;23;;53;;52;;;;;24;2;;;
1666479;95;;;5;90;;;;6;89;;;8;3;84;;65;4;15;11;;71;9;7;8;;;;;95;;;;;95;;;;;95;;39;2;13;41;;15;;1;79;;;;2;93;;2;;;93;;;11;;43;;;4;1;36;
1666480;117;;;1;116;;;;;117;;;;;117;;92;6;10;9;;89;;4;24;;11;50;9;47;;;1;;116;;;6;23;88;;10;;;107;;;1;14;102;;;;;117;;9;;;108;;;2;3;59;;;13;23;17;
1666481;60;;9;13;38;;;;3;57;;;;;60;;49;1;;10;;37;2;7;14;;12;28;9;11;;;;1;59;;;;;60;;15;;;45;;;;2;58;;;;;60;;3;1;;56;;;;;38;;;;1;21;
1666482;212;;;;212;;;;9;203;;;;1;211;;169;7;;36;;177;4;4;27;;96;5;39;72;;;;;212;;;;;212;;1;;1;210;;;;32;180;;5;1;2;204;;;;;212;;;;;138;;;;;74;
1666483;179;;8;13;158;;;1;22;156;;;;1;178;;62;6;;111;;7;88;40;44;;3;39;40;97;;;1;2;176;;;;;179;;16;;1;162;;;38;29;112;;;;;179;;;3;;176;;;4;7;113;;;2;2;51;
1666484;280;;;8;272;;;;18;262;;;;;280;;51;8;1;220;;114;101;10;55;;30;96;104;50;;;;;280;;;1;2;277;;11;;;269;;2;63;36;179;;;;;280;;2;;;278;;;8;6;177;;;9;20;60;
1666485;216;;1;32;183;;;;53;163;;;;2;214;;158;20;;38;;128;34;27;27;;11;40;42;123;;;8;13;195;;;6;27;183;;12;1;;203;;;1;27;188;;;3;2;211;;2;2;;212;;;;;114;;;;;102;
1666486;434;1;4;1;428;;1;1;5;427;;;3;1;430;;51;201;40;142;;296;2;2;134;;148;76;23;187;;16;49;43;326;;1;201;12;220;;196;15;6;217;;123;77;25;209;;;;;434;;43;4;1;386;;1;78;4;216;;;24;4;107;
1666487;27;;1;7;19;;;2;;25;;;;;27;;5;1;;21;;2;1;;24;;2;16;1;8;;2;;;25;;;1;22;4;;;;;27;;2;;;25;;;;;27;;;;;27;;;;;17;;;1;2;7;
1666488;42;;;3;39;;;;;42;;;;;42;;22;1;;19;;39;3;;;;1;2;8;31;;;;;42;;;;;42;;7;;;35;;;;;42;;;;1;41;;8;;;34;;;3;12;12;;;2;6;7;
1666489;84;;;6;78;;;;3;81;;;;;84;;54;12;1;17;;73;2;;9;;;12;13;59;;;6;17;61;;;;;84;;3;;;81;;;;10;74;;;1;4;79;;23;11;4;46;;;1;;45;;;6;3;29;
1666490;179;;;;179;;;;70;109;;;1;1;177;;138;10;;31;;143;3;6;27;;40;119;14;6;;;;1;178;;;1;4;174;;;;;179;;;7;75;97;;;1;;178;;150;12;1;16;;;1;3;123;;;3;1;48;
1666491;120;1;;19;100;;1;1;;118;;;;34;86;;79;8;;33;;87;7;3;23;;33;18;13;56;;;13;19;88;;;;1;119;;23;;2;95;;1;3;87;29;;;;1;119;;7;;;113;;;3;;96;;;1;;20;
1666492;38;;;;38;;;1;;37;;;3;5;30;;10;11;2;15;;31;;1;6;;4;5;9;20;;;4;8;26;;;1;1;36;;1;;;37;;;1;;37;;1;;;37;;1;;;37;;;3;2;20;;;;2;11;
1666493;64;;;;64;;;;1;63;;4;31;24;5;;40;9;3;12;;46;1;16;1;;1;42;10;11;;;4;6;54;;;28;23;13;;1;;;63;;;2;11;51;;;;;64;;9;1;;54;;3;14;1;30;;;2;1;13;
1666494;51;1;6;22;22;;;;10;41;;;;;51;;47;2;;2;;30;;2;19;;1;25;11;14;;;;;51;;;;;51;;;;;51;;;;;51;;;;;51;;1;;;50;;;;;36;;;;6;9;
1666495;50;1;1;8;40;;1;;2;47;;;;;50;;35;6;1;8;;41;;2;7;;1;1;13;35;;;20;15;15;;;8;6;36;;4;;1;45;;;2;11;37;;;;;50;;8;;7;35;;;1;1;40;;;2;4;2;
1666496;49;1;7;24;17;;1;5;22;21;;;11;18;20;;32;3;;14;;37;3;1;8;;1;19;4;25;;;9;8;32;;12;32;4;1;;49;;;;;;2;9;38;;41;;2;6;;43;;;6;;1;14;14;11;;;4;3;2;
1666497;30;;;;30;;;1;2;27;;;;;30;;10;9;1;10;;19;1;1;9;;;;;30;;;;;30;;;;;30;;10;1;;19;;;;3;27;;;;;30;;;1;;29;;;;1;28;;;;;1;
1666498;38;;1;9;28;;;;1;37;;;;1;37;;9;4;3;22;;35;;;3;;1;;;37;;1;;1;36;;1;;1;36;;;;;38;;1;;;37;;1;;;37;;2;;;36;;;1;;29;;;;;8;
1666499;33;;;2;31;;;;6;27;;;7;5;21;;28;3;1;1;;29;1;1;2;;4;17;5;7;;;8;2;23;;6;12;;15;;5;;;28;;;3;8;22;;19;5;5;4;;27;2;2;2;;1;7;5;9;;;7;3;1;
1666500;82;;7;25;50;;;1;11;70;;;;;82;;2;26;19;35;;58;2;10;12;;10;17;30;25;;;4;3;75;;;1;6;75;;;;1;81;;;;1;81;;3;1;4;74;;5;;;77;;;5;5;58;;;2;1;11;
1666501;100;2;;1;97;;2;;2;96;;1;;;99;;38;22;11;29;;78;3;1;18;;12;32;25;31;;1;3;8;88;;1;7;5;87;;1;;;99;;2;1;8;89;;2;1;5;92;;2;3;;95;;1;;1;83;;;;;15;
1666502;84;3;;5;76;;11;12;;61;;;1;4;79;;53;7;2;22;;17;31;6;30;;10;10;15;49;;1;12;8;63;;1;16;3;64;;2;;;82;;1;1;;82;;5;1;7;71;;3;;;81;;;;;68;;;;;16;
1666503;47;;3;6;38;;;;;47;;;;3;44;;39;1;;7;;38;;1;8;;8;16;7;16;;;4;4;39;;;;13;34;;9;2;;36;;2;7;10;28;;;;;47;;6;;;41;;;1;;30;;;;;16;
1666504;46;;;;46;;;;1;45;;;;;46;;30;1;;15;;31;2;3;10;;;;5;41;;;;1;45;;;;;46;;12;;;34;;;;8;38;;;3;1;42;;4;8;;34;;;;;42;;;;;4;
1666505;109;2;32;31;44;;;;7;102;;;;;109;;87;3;;19;;91;5;2;11;;;34;30;45;;;6;7;96;;;;;109;;27;14;;68;;5;54;30;20;;;;;109;;3;;;106;;;10;5;68;;;9;4;13;
1666506;231;;8;20;203;;;;12;219;;;;;231;;165;12;10;44;;83;88;17;43;;1;42;53;135;;;;1;230;;;1;3;227;;16;3;7;205;;;;10;221;;;;2;229;;19;;6;206;;;4;3;163;;;2;16;43;
1666507;54;2;24;16;12;;;11;26;17;;;12;3;39;;47;6;;1;;54;;;;;4;3;7;40;;6;3;3;42;;;24;5;25;;26;;;28;;47;2;2;3;;5;1;7;41;;17;;1;36;;1;5;2;35;;;;2;9;
1666508;92;;7;11;74;;;16;36;40;;;17;19;56;;66;11;4;11;;63;17;12;;;41;41;6;4;;1;10;10;71;;;16;21;55;;1;6;;85;;;10;37;45;;6;6;6;74;;38;2;;52;;16;7;3;36;;5;3;5;17;
1666509;239;;;1;238;;;;7;232;;;;1;238;;137;46;7;49;;182;10;6;41;;16;86;68;69;;;10;13;216;;;;;239;;80;1;4;154;;;13;48;178;;;;;239;;3;3;;233;;;22;14;167;;;2;;34;
1666510;245;;6;31;208;;;;19;226;;;;;245;;179;19;8;39;;219;;1;25;;;40;37;168;;;2;4;239;;;8;38;199;;1;;;244;;;1;12;232;;;;;245;;65;20;;160;;;3;;192;;;4;;46;
1666511;378;;3;55;320;;;;;378;;;1;26;351;;288;27;17;46;;292;3;4;79;;52;63;92;171;;;8;23;347;;;7;36;335;;54;6;11;307;;;3;96;279;;;;;378;;;;;378;;;;;289;;;7;11;71;
1666512;41;;1;3;37;;;;4;37;;;;;41;;21;5;;15;;29;11;1;;;1;6;9;25;;;1;5;35;;;;1;40;;;;;41;;;8;17;16;;1;2;;38;;7;;;34;;;4;;29;;;1;;7;
1666513;142;;4;2;136;;3;1;51;87;;;4;27;111;;110;23;4;5;;138;1;1;2;;77;28;18;19;;;14;15;113;;;56;78;8;;97;;2;43;;;10;6;126;;36;3;19;84;;11;23;8;100;;3;;;113;;4;;;22;
1666514;130;;1;10;119;;;2;18;110;;;30;23;77;;87;17;7;19;;97;3;2;28;;11;49;38;32;;1;;3;126;;1;2;2;125;;15;;;115;;3;25;7;95;;;;;130;;12;1;;117;;;;;97;;;;;33;
1666515;43;;;;43;;;;;43;;;;;43;;28;3;1;11;;35;6;1;1;;;1;;42;;1;5;4;33;;;13;14;16;;;;;43;;;;;43;;;6;3;34;;;;;43;;;;;36;;;;;7;
1666516;115;;;2;113;;;;2;113;;;;;115;;49;22;2;42;;26;58;10;21;;5;71;38;1;;;2;4;109;;;29;27;59;;23;;;92;;2;108;4;1;;;;4;111;;15;1;;99;;;;;97;;;;;18;
1666517;261;;4;32;225;;;6;2;253;;;97;49;115;;12;4;;245;;238;;1;22;;2;115;80;64;;2;20;12;227;;;6;114;141;;23;;4;234;;6;3;23;229;;;;;261;;73;;;188;;;4;1;199;;;1;8;48;
1666518;59;;1;;58;;;;6;53;;;;;59;;30;9;11;9;;6;6;29;18;;1;16;5;37;;1;;1;57;;;;4;55;;;;;59;;;4;11;44;;;;;59;;;;;59;;;4;;51;;;2;;2;
1666519;62;;2;5;55;;;;;62;;;;;62;;32;12;4;14;;56;;1;5;;;4;39;19;;;3;1;58;;;;;62;;;;;62;;;8;24;30;;2;6;4;50;;13;5;;44;;;;;50;;;;;12;
