ID;RTS_nr;JAHR;MPDS;PDS;KRIT_NR;AUSPRAEGUNG;LL_UG_NR;AUSPR2;RTS_TYP1;ANZ_S;ANZ_UG;MW_A_PR;MW_M_PR;MW_A_PW;MW_M_PW;filter_$
140062639;21;2017;1666474;1666475;1204;E21010;;ETM_NR;;145;145;14,296552;467,275862;0,970575;31,745486;1
140062640;21;2017;1666474;1666475;1204;E21010;;ETM_NR;1;145;10;5,1;198;0,342821;13,314423;1
140062641;21;2017;1666474;1666475;1204;E21010;;ETM_NR;3;145;32;9,71875;307,5;0,664031;21,027817;1
140062642;21;2017;1666474;1666475;1204;E21010;;ETM_NR;4;145;103;16,61165;543,058252;1,126759;36,864671;1
140062643;21;2017;1666474;1666475;1204;E21020;;ETM_NR;;145;145;47,882759;3582;3,255162;243,524558;1
140062644;21;2017;1666474;1666475;1204;E21020;;ETM_NR;3;145;58;44,310345;3314,482759;2,947122;220,474959;1
140062645;21;2017;1666474;1666475;1204;E21020;;ETM_NR;4;145;87;50,264368;3760,344828;3,460522;258,890957;1
140062646;21;2017;1666474;1666475;1204;E21030;;ETM_NR;;145;145;76,117241;1914,241379;5,168729;130,049009;1
140062647;21;2017;1666474;1666475;1204;E21030;;ETM_NR;4;145;145;76,117241;1914,241379;5,168729;130,049009;1
140062648;21;2017;1666474;1666475;1204;E21040;;ETM_NR;;145;145;0,903448;104,172414;0,061585;7,09426;1
140062649;21;2017;1666474;1666475;1204;E21040;;ETM_NR;0;145;74;0;0;0;0;1
140062650;21;2017;1666474;1666475;1204;E21040;;ETM_NR;1;145;20;1,25;46,5;0,087468;3,179808;1
140062651;21;2017;1666474;1666475;1204;E21040;;ETM_NR;4;145;51;2,078431;277,941176;0,140794;18,922971;1
140062652;21;2017;1666474;1666475;1204;E21060;;ETM_NR;;145;145;2,558621;131,689655;0,172927;8,899222;1
140062653;21;2017;1666474;1666475;1204;E21060;;ETM_NR;0;145;14;0;0;0;0;1
140062654;21;2017;1666474;1666475;1204;E21060;;ETM_NR;1;145;74;1,662162;85,608108;0,113684;5,853638;1
140062655;21;2017;1666474;1666475;1204;E21060;;ETM_NR;3;145;46;3,978261;204,347826;0,266799;13,703573;1
140062656;21;2017;1666474;1666475;1204;E21060;;ETM_NR;4;145;11;5,909091;305,454545;0,398999;20,623053;1
140062657;21;2017;1666474;1666475;1204;E21070;;ETM_NR;;145;145;5,034483;209,827586;0,341669;14,243246;1
140062658;21;2017;1666474;1666475;1204;E21070;;ETM_NR;0;145;6;0;0;0;0;1
140062659;21;2017;1666474;1666475;1204;E21070;;ETM_NR;1;145;109;4,394495;181,697248;0,298029;12,327957;1
140062660;21;2017;1666474;1666475;1204;E21070;;ETM_NR;3;145;29;8,206897;347,586207;0,557997;23,626801;1
