ID;RTS_nr;JAHR;MPDS;PDS;KRIT_NR;AUSPRAEGUNG;LL_UG_NR;AUSPR2;RTS_TYP1;ANZ_S;ANZ_UG;MW_A_PR;MW_M_PR;MW_A_PW;MW_M_PW;filter_$
140026151;25;2017;1666435;1666436;1202;E25100;0;D579;9;129;4;2,5;37,5;,497456;7,46184;1
140026152;25;2017;1666435;1666436;1202;E25100;0;D573;9;129;1;2;30;,583333;8,75;1
140026153;25;2017;1666435;1666436;1202;E25100;0;D571;9;129;1;2;30;,341463;5,121951;1
140026154;25;2017;1666435;1666436;1202;E25090;0;D593;9;129;4;1;45;,281944;12,6875;1
140026155;25;2017;1666435;1666436;1202;E25090;0;D569;9;129;6;1,833333;27,5;,506604;7,599066;1
140026156;25;2017;1666435;1666436;1202;E25090;0;D563;9;129;4;1,25;18,75;,346759;5,201389;1
140026157;25;2017;1666435;1666436;1202;E25090;0;D562;9;129;1;1;15;,259259;3,888889;1
140026158;25;2017;1666435;1666436;1202;E25090;0;D561;9;129;1;5;125;,853659;21,341463;1
140026159;25;2017;1666435;1666436;1202;E25090;0;D553;9;129;3;1,666667;25;,408969;6,134532;1
140026160;25;2017;1666435;1666436;1202;E25090;0;D552;9;129;18;1,833333;27,5;,521713;7,825691;1
140026161;25;2017;1666435;1666436;1202;E25090;0;C580;9;129;13;1,384615;41,538462;,388402;11,652074;1
140026162;25;2017;1666435;1666436;1202;E25090;0;C551;9;129;2;1;15;,30463;4,569444;1
140026163;25;2017;1666435;1666436;1202;E25080;0;F578;9;129;13;1,923077;230,769231;,587322;70,478632;1
140026164;25;2017;1666435;1666436;1202;E25070;0;F619;9;129;16;1,25;75;,360532;21,631944;1
140026165;25;2017;1666435;1666436;1202;E25070;0;F612;9;129;41;2,121951;127,317073;,607002;36,420148;1
140026166;25;2017;1666435;1666436;1202;E25070;0;F611;9;129;48;1,833333;110;,551942;33,116501;1
140026167;25;2017;1666435;1666436;1202;E25070;0;F609;9;129;16;1,5625;78,125;,455199;22,759945;1
140026168;25;2017;1666435;1666436;1202;E25060;0;F571;9;129;17;1,294118;77,647059;,361895;21,713725;1
140026169;25;2017;1666435;1666436;1202;E25060;0;F560;9;129;55;1,490909;89,454545;,431135;25,868102;1
140026170;25;2017;1666435;1666436;1202;E25060;0;F555;9;129;52;1,884615;84,807692;,529272;23,817247;1
140026171;25;2017;1666435;1666436;1202;E25050;0;M630;9;129;83;1,012048;182,168675;,304625;54,83243;1
140026172;25;2017;1666435;1666436;1202;E25050;0;M621;9;129;123;2,333333;260;,697036;78,200533;1
140026173;25;2017;1666435;1666436;1202;E25050;0;M600;9;129;83;1;59,819277;,296738;17,757396;1
140026174;25;2017;1666435;1666436;1202;E25050;0;M590;9;129;123;2,471545;58,780488;,717684;16,875278;1
140026175;25;2017;1666435;1666436;1202;E25050;0;M551;9;129;52;1,384615;34,326923;,404299;10,08569;1
140026176;25;2017;1666435;1666436;1202;E25050;0;C632;9;129;117;1,008547;60,512821;,304554;18,273241;1
140026177;25;2017;1666435;1666436;1202;E25040;0;H740;9;129;124;3,346774;50,201613;1,009518;15,142766;1
140026178;25;2017;1666435;1666436;1202;E25040;0;H660;9;129;69;2,014493;20,144928;,577238;5,772384;1
140026179;25;2017;1666435;1666436;1202;E25040;0;H629;9;129;1;1;15;,205882;3,088235;1
140026180;25;2017;1666435;1666436;1202;E25040;0;H621;9;129;1;1;20;,259259;5,185185;1
140026181;25;2017;1666435;1666436;1202;E25040;0;H575;9;129;102;2,392157;23,921569;,741578;7,41578;1
140026182;25;2017;1666435;1666436;1202;E25040;0;H571;9;129;124;1,637097;8,185484;,491736;2,458679;1
140026183;25;2017;1666435;1666436;1202;E25040;0;C634;9;129;89;1;60;,299062;17,943701;1
140026184;25;2017;1666435;1666436;1202;E25040;0;C633;9;129;82;1;60;,301035;18,062086;1
140026185;25;2017;1666435;1666436;1202;E25040;0;C620;9;129;129;4;232,906977;1,189487;69,019981;1
140026186;25;2017;1666435;1666436;1202;E25040;0;C613;9;129;125;1;22,08;,302464;6,67327;1
140026187;25;2017;1666435;1666436;1202;E25040;0;C560;9;129;75;1;15;,297294;4,459408;1
140026188;25;2017;1666435;1666436;1202;E25040;0;C552;9;129;129;8,937984;203,372093;2,626116;59,765773;1
140026189;25;2017;1666435;1666436;1202;E25030;0;C693;9;129;128;7,289063;516,5625;2,179749;154,281757;1
140026190;25;2017;1666435;1666436;1202;E25020;0;E720;9;129;49;1,183673;89,387755;,3411;25,632449;1
140026191;25;2017;1666435;1666436;1202;E25020;0;E680;9;129;1;3;90;,777778;23,333333;1
140026192;25;2017;1666435;1666436;1202;E25020;0;E660;9;129;24;1,5;90;,413546;24,812784;1
140026193;25;2017;1666435;1666436;1202;E25020;0;E651;9;129;26;1,153846;103,846154;,342656;30,839004;1
140026194;25;2017;1666435;1666436;1202;E25020;0;E649;9;129;13;3,153846;94,615385;,760281;22,808434;1
140026195;25;2017;1666435;1666436;1202;E25020;0;E562;9;129;3;1;90;,289506;26,055556;1
140026196;25;2017;1666435;1666436;1202;E25010;0;L551;9;129;81;47,432099;429,62963;13,565632;125,13603;1
140026197;25;2017;1666435;1666436;1202;E25010;0;B609;9;129;2;2,5;75;,648148;19,444444;1
140026198;25;2017;1666435;1666436;1202;E25010;0;B579;9;129;15;1,466667;44;,410311;12,309329;1
140026199;25;2017;1666435;1666436;1202;E25010;0;B559;9;129;16;3,375;101,25;,808451;24,253534;1
140026200;25;2017;1666435;1666436;1202;E25010;0;B551;9;129;5;2,6;78;,855556;25,666667;1
140026201;25;2017;1666435;1666436;1202;E25010;0;A601;9;129;125;10,304;320,48;3,056976;95,228671;1
140026202;25;2017;1666435;1666436;1202;E25010;0;A590;9;129;47;4,382979;131,489362;1,276156;38,284691;1
140026203;25;2017;1666435;1666436;1202;E25010;0;A580;9;129;17;1,058824;31,764706;,284916;8,547482;1
140026204;25;2017;1666435;1666436;1202;E25010;0;A561;9;129;128;4,90625;194,140625;1,441736;57,05479;1
140026205;25;2017;1666435;1666436;1202;E25010;0;A552;9;129;128;8,710938;274,492188;2,535426;79,817092;1
140031350;25;2017;1666435;1666436;1204;E25010;;ETM_NR;;129;129;55,744186;1119,263566;16,12017;327,471392;1
140031351;25;2017;1666435;1666436;1204;E25010;;ETM_NR;1;129;23;30,826087;565,869565;8,920693;165,931434;1
140031352;25;2017;1666435;1666436;1204;E25010;;ETM_NR;3;129;54;55,703704;871,203704;15,755713;250,230068;1
140031353;25;2017;1666435;1666436;1204;E25010;;ETM_NR;4;129;52;66,807692;1621,634615;19,68303;479,133903;1
140031354;25;2017;1666435;1666436;1204;E25020;;ETM_NR;;129;129;1,325581;83,953488;,364946;23,653648;1
140031355;25;2017;1666435;1666436;1204;E25020;;ETM_NR;0;129;50;0;0;0;0;1
140031356;25;2017;1666435;1666436;1204;E25020;;ETM_NR;1;129;50;1,36;89,4;,375233;25,332188;1
140031357;25;2017;1666435;1666436;1204;E25020;;ETM_NR;3;129;17;2,941176;180;,798675;50,332682;1
140031358;25;2017;1666435;1666436;1204;E25020;;ETM_NR;4;129;12;4,416667;275;1,228241;77,421296;1
140031359;25;2017;1666435;1666436;1204;E25030;;ETM_NR;;129;129;7,232558;512,55814;2,162852;153,085774;1
140031360;25;2017;1666435;1666436;1204;E25030;;ETM_NR;0;129;1;0;0;0;0;1
140031361;25;2017;1666435;1666436;1204;E25030;;ETM_NR;1;129;1;1;60;,388889;23,333333;1
140031362;25;2017;1666435;1666436;1204;E25030;;ETM_NR;3;129;1;5;300;1,296296;77,777778;1
140031363;25;2017;1666435;1666436;1204;E25030;;ETM_NR;4;129;126;7,357143;521,904762;2,200974;155,928204;1
140031364;25;2017;1666435;1666436;1204;E25040;;ETM_NR;;129;129;23,589147;632,015504;7,02101;187,640415;1
140031365;25;2017;1666435;1666436;1204;E25040;;ETM_NR;4;129;129;23,589147;632,015504;7,02101;187,640415;1
140031366;25;2017;1666435;1666436;1204;E25050;;ETM_NR;;129;129;7,348837;528,372093;2,175038;157,997717;1
140031367;25;2017;1666435;1666436;1204;E25050;;ETM_NR;1;129;1;3;90;,84;25,2;1
140031368;25;2017;1666435;1666436;1204;E25050;;ETM_NR;3;129;1;4;165;1,037037;42,777778;1
140031369;25;2017;1666435;1666436;1204;E25050;;ETM_NR;4;129;127;7,409449;534,685039;2,19451;159,950612;1
140031370;25;2017;1666435;1666436;1204;E25060;;ETM_NR;;129;129;1,565891;82,55814;,444859;23,491285;1
140031371;25;2017;1666435;1666436;1204;E25060;;ETM_NR;0;129;39;0;0;0;0;1
140031372;25;2017;1666435;1666436;1204;E25060;;ETM_NR;1;129;31;1;55,645161;,313329;17,476988;1
140031373;25;2017;1666435;1666436;1204;E25060;;ETM_NR;3;129;18;2;96,666667;,617797;29,858747;1
