PDS,ANZ_S,RTS_E27120.0,RTS_E27120.1,RTS_E27120.3,RTS_E27120.3.MW_A_PR,RTS_E27120.3.MW_M_PR,RTS_E27120.3.MW_A_PW,RTS_E27120.3.MW_M_PW,RTS_E27120.4,RTS_E27120.4.MW_A_PR,RTS_E27120.4.MW_M_PR,RTS_E27120.4.MW_A_PW,RTS_E27120.4.MW_M_PW,RTS_E27120.9,RTS_E27110.0,RTS_E27110.1,RTS_E27110.3,RTS_E27110.3.MW_A_PR,RTS_E27110.3.MW_M_PR,RTS_E27110.3.MW_A_PW,RTS_E27110.3.MW_M_PW,RTS_E27110.4,RTS_E27110.4.MW_A_PR,RTS_E27110.4.MW_M_PR,RTS_E27110.4.MW_A_PW,RTS_E27110.4.MW_M_PW,RTS_E27110.9,RTS_E27100.0,RTS_E27100.1,RTS_E27100.3,RTS_E27100.3.MW_A_PR,RTS_E27100.3.MW_M_PR,RTS_E27100.3.MW_A_PW,RTS_E27100.3.MW_M_PW,RTS_E27100.4,RTS_E27100.4.MW_A_PR,RTS_E27100.4.MW_M_PR,RTS_E27100.4.MW_A_PW,RTS_E27100.4.MW_M_PW,RTS_E27100.9,RTS_E27090.0,RTS_E27090.1,RTS_E27090.3,RTS_E27090.3.MW_A_PR,RTS_E27090.3.MW_M_PR,RTS_E27090.3.MW_A_PW,RTS_E27090.3.MW_M_PW,RTS_E27090.4,RTS_E27090.4.MW_A_PR,RTS_E27090.4.MW_M_PR,RTS_E27090.4.MW_A_PW,RTS_E27090.4.MW_M_PW,RTS_E27090.9,RTS_E27080.0,RTS_E27080.1,RTS_E27080.3,RTS_E27080.3.MW_A_PR,RTS_E27080.3.MW_M_PR,RTS_E27080.3.MW_A_PW,RTS_E27080.3.MW_M_PW,RTS_E27080.4,RTS_E27080.4.MW_A_PR,RTS_E27080.4.MW_M_PR,RTS_E27080.4.MW_A_PW,RTS_E27080.4.MW_M_PW,RTS_E27080.9,RTS_E27070.0,RTS_E27070.1,RTS_E27070.3,RTS_E27070.3.MW_A_PR,RTS_E27070.3.MW_M_PR,RTS_E27070.3.MW_A_PW,RTS_E27070.3.MW_M_PW,RTS_E27070.4,RTS_E27070.4.MW_A_PR,RTS_E27070.4.MW_M_PR,RTS_E27070.4.MW_A_PW,RTS_E27070.4.MW_M_PW,RTS_E27070.9,RTS_E27060.0,RTS_E27060.1,RTS_E27060.3,RTS_E27060.3.MW_A_PR,RTS_E27060.3.MW_M_PR,RTS_E27060.3.MW_A_PW,RTS_E27060.3.MW_M_PW,RTS_E27060.4,RTS_E27060.4.MW_A_PR,RTS_E27060.4.MW_M_PR,RTS_E27060.4.MW_A_PW,RTS_E27060.4.MW_M_PW,RTS_E27060.9,RTS_E27050.0,RTS_E27050.1,RTS_E27050.3,RTS_E27050.3.MW_A_PR,RTS_E27050.3.MW_M_PR,RTS_E27050.3.MW_A_PW,RTS_E27050.3.MW_M_PW,RTS_E27050.4,RTS_E27050.4.MW_A_PR,RTS_E27050.4.MW_M_PR,RTS_E27050.4.MW_A_PW,RTS_E27050.4.MW_M_PW,RTS_E27050.9,RTS_E27040.0,RTS_E27040.1,RTS_E27040.3,RTS_E27040.3.MW_A_PR,RTS_E27040.3.MW_M_PR,RTS_E27040.3.MW_A_PW,RTS_E27040.3.MW_M_PW,RTS_E27040.4,RTS_E27040.4.MW_A_PR,RTS_E27040.4.MW_M_PR,RTS_E27040.4.MW_A_PW,RTS_E27040.4.MW_M_PW,RTS_E27040.9,RTS_E27030.0,RTS_E27030.1,RTS_E27030.3,RTS_E27030.3.MW_A_PR,RTS_E27030.3.MW_M_PR,RTS_E27030.3.MW_A_PW,RTS_E27030.3.MW_M_PW,RTS_E27030.4,RTS_E27030.4.MW_A_PR,RTS_E27030.4.MW_M_PR,RTS_E27030.4.MW_A_PW,RTS_E27030.4.MW_M_PW,RTS_E27030.9,RTS_E27020.0,RTS_E27020.1,RTS_E27020.3,RTS_E27020.3.MW_A_PR,RTS_E27020.3.MW_M_PR,RTS_E27020.3.MW_A_PW,RTS_E27020.3.MW_M_PW,RTS_E27020.4,RTS_E27020.4.MW_A_PR,RTS_E27020.4.MW_M_PR,RTS_E27020.4.MW_A_PW,RTS_E27020.4.MW_M_PW,RTS_E27020.9,RTS_E27010.0,RTS_E27010.1,RTS_E27010.3,RTS_E27010.3.MW_A_PR,RTS_E27010.3.MW_M_PR,RTS_E27010.3.MW_A_PW,RTS_E27010.3.MW_M_PW,RTS_E27010.4,RTS_E27010.4.MW_A_PR,RTS_E27010.4.MW_M_PR,RTS_E27010.4.MW_A_PW,RTS_E27010.4.MW_M_PW,RTS_E27010.9
1642622,224,95,,,,,,,129,"1,023256","15,697674",",326371","4,981289",,,,1,1,30,",35","10,5",223,"3,717489","97,264574","1,190701","31,063092",,153,41,24,3,180,",927835","55,670107",6,4,240,"1,097531","65,851852",,65,12,7,"4,857143","152,857143","1,509684","47,790537",140,"9,1","281,035714","2,818129","87,055954",,20,5,,,,,,199,"3,120603","177,060302",",99406","56,579096",,,,,,,,,224,"67,799107","2083,995536","21,049637","647,226256",,5,20,2,2,105,",60926","31,986111",197,"2,969543","176,548223",",950071","56,801357",,6,,2,1,90,",380883","34,279412",216,"3,643519","327,916667","1,162885","104,659656",,207,10,,,,,,7,"18,571429","557,142857","3,939527","118,185796",,,,,,,,,224,"34,767857","3972,544643","10,742117","1233,074328",,12,2,2,5,150,"1,477778","44,333334",208,"9,346154","280,384615","2,924558","87,736739",,1,2,4,8,240,"2,550463","76,513889",217,"22,018433","684,331797","6,858465","212,820606",
1642623,482,51,,,,,,,431,"1,074246","16,113689",",348348","5,225218",,,3,,,,,,479,"5,647182","90,39666","1,818737","29,201017",,294,34,87,"2,609195","168,275862",",816737","52,986659",67,"3,029851","227,238806","1,03596","77,696971",,91,119,124,"2,91129","165,967742",",874611","49,976003",148,"3,560811","204,831081","1,194599","68,946064",,27,,,,,,,455,"4,850549","280,747253","1,568451","90,750876",,1,34,99,"3,020202","144,040404","1,024213","48,76526",348,"12,62931","287,988506","3,999656","91,540601",,,38,100,"5,53","86,6","1,795529","28,016762",344,"6,537791","136,409884","2,10427","43,904351",,3,28,,,,,,451,"3,645233","217,915743","1,169283","69,910111",,422,,2,"2,5",75,",75731","22,719298",58,"5,827586","306,982759","1,788563","95,779001",,,4,12,"9,833333",290,"2,785459","82,017607",466,"17,560086","528,04721","5,615863","168,951849",,359,75,27,"4,814815","144,444444","1,569771","47,093123",21,"7,857143","235,714286","2,427228","72,816838",,,16,42,"9,857143","285,714286","2,836997","82,228889",424,"16,132075","477,806604","5,183111","153,557488",
1642624,259,14,,,,,,,245,"1,183673","17,755102",",388662","5,829923",,92,9,26,"1,269231","30,384615",",427162","10,401751",132,"2,477273","58,712121",",778732","18,539318",,191,48,16,3,180,",944271","56,65625",4,4,240,"1,278148","76,688889",,120,11,11,"2,454545","147,272727",",759749","45,584914",117,"6,179487","356,153846","1,967999","113,990287",,126,2,10,1,45,",348704","15,691667",121,"2,429752","131,528926",",740108","40,115032",,,,,,,,,259,"46,196911","2275,540541","14,867715","732,836653",,,3,12,"3,75","107,916667","1,302094","37,480291",244,"6,540984","274,139344","2,14194","89,765688",,12,1,,,,,,246,"3,837398","229,939024","1,263881","75,723774",,232,7,9,"1,111111",60,",402119","21,793831",11,"5,545455","174,545455","1,574411","49,60101",,,7,28,"8,321429","253,571429","2,633783","80,38848",224,"15,308036","460,379464","4,928527","148,320138",,46,13,33,"5,242424","157,272727","1,657665","49,729946",167,"8,017964","240,538922","2,589735","77,692061",,,4,8,"8,875","273,75","2,735757","84,71058",247,"21,975709","708,947368","7,064264","227,85306",
1642625,191,184,,,,,,,7,1,15,",285185","4,277778",,107,43,12,2,40,",660031","13,200617",29,"4,551724","76,896552","1,335959","22,554203",,157,1,9,3,150,",91122","45,561002",24,4,200,"1,264568","63,228395",,75,41,47,"3,510638","163,617021","1,051318","48,902994",28,"4,142857","200,535714","1,415212","68,480489",,94,,29,1,50,",331941","16,597063",68,"3,382353","167,941176",",999713","49,644399",,,98,12,"3,833333",145,"1,250926","47,347222",81,"5,148148","355,185185","1,584138","108,983463",,,,3,"5,666667","96,666667","1,983333","33,833333",188,"10,867021","274,095745","3,427179","86,17983",,15,16,54,2,"91,111111",",672251","30,563085",106,3,"136,179245",",929506","42,213724",,152,30,3,1,60,",35",21,6,"4,666667","141,666667","1,343827","41,092593",,,1,3,7,240,"2,45",84,187,"23,775401","732,834225","7,35851","226,980915",,17,,,,,,,174,"26,114943","933,965517","8,095203","289,244497",,,2,5,"7,4",234,"2,426667",77,184,"16,684783","532,608696","5,202794","165,821205",
1642626,277,,,,,,,,277,"1,938628","38,844765",",648756","13,000386",,,6,2,1,30,",35","10,5",269,"3,568773","131,579926","1,192244","43,985919",,228,17,19,"3,052632",180,"1,005565","59,5152",13,4,"237,692308","1,329093","79,131965",,3,12,97,"5,546392","166,391753","1,642686","49,280588",165,6,180,"2,145641","64,369218",,108,3,106,1,"45,330189",",337071","15,261657",60,"3,016667","152,416667",",99887","50,483879",,,6,1,4,135,"1,4","47,25",270,"7,125926","408,444444","2,383377","136,592598",,,,,,,,,277,"15,99278","517,00361","5,272381","172,152504",,10,3,263,2,90,",669831","30,142405",1,3,135,"1,105263","49,736842",,12,241,3,2,60,",724561","21,736842",21,"3,190476","151,428571","1,079022","52,103618",,,4,38,"8,210526","342,368421","2,586276","108,171407",235,"12,434043","515,893617","4,139466","171,621916",,7,10,69,"5,695652","161,014493","1,891505","53,424472",191,"8,664921","250,052356","2,846932","82,091207",,1,14,10,"8,7","274,5","2,662682","83,90388",252,"16,400794","502,857143","5,457096","167,295054",
1642627,881,45,,,,,,,836,"1,185407","18,319378",",390489","6,024409",,109,327,58,"1,810345","37,586207",",616047","12,788059",387,"2,739018","74,121447",",876846","23,735261",,696,95,85,3,180,"1,011586","60,695173",5,4,240,"1,037037","62,222222",,497,35,58,"4,724138","157,586207","1,479542","49,168808",291,"6,718213","240,309278","2,225473","79,779448",,305,,2,1,50,",35","17,5",574,"4,175958","247,003484","1,348979","79,945528",,5,94,67,"6,014925","156,492537","2,034878","52,973507",715,"12,027972","340,776224","3,942123","111,675596",,,2,3,"6,666667",95,"2,333333","33,25",876,"11,976027","364,189498","3,932131","119,929978",,43,39,,,,,,799,"3,217772","193,066333","1,064102","63,846115",,653,11,14,"2,214286","66,428571",",725748","21,772436",203,"7,423645","222,70936","2,344686","70,340584",,,22,82,"8,036585","244,390244","2,57875","78,348953",777,"20,918919","623,359073","6,817441","202,947981",,38,110,207,"4,642512","161,594203","1,540417","53,81701",526,"8,790875","306,444867","2,906033","101,512821",,7,13,18,"8,166667",245,"2,66965","80,089506",843,"16,744958","507,793594","5,443132","165,03245",
1642628,389,1,,,,,,,388,"2,518041","37,693299",",80938","12,118553",,,,,,,,,389,"14,832905","261,863753","4,732777","83,628422",,315,52,18,3,180,",918942","55,136511",4,4,240,",876906","52,614379",,27,202,160,"4,01875","120,5625","1,411269","42,338072",,,,,,,128,55,1,2,45,",7","15,75",205,"3,439024","147,243902","1,061822","45,203746",,11,81,127,"15,724409",150,"5,07766","49,359569",170,"19,482353","361,088235","6,021556","115,434164",,,1,8,"4,25","106,25","1,4875","37,1875",380,"15,657895","354,526316","4,933879","112,213536",,23,,24,1,90,",344317","30,988527",342,"4,187135","381,578947","1,333456","121,432046",,220,40,14,"2,071429","87,857143",",582209","24,324372",115,"3,321739","132,652174","1,076864","43,234215",,,10,13,"8,461538","256,153846","2,316858","70,313431",366,"19,693989","607,73224","6,188108","190,800999",,185,115,29,5,"246,724138","1,627012","80,553133",60,"11,516667","556,5","3,467642","168,592583",,,3,7,"9,428571","271,428571","2,605059","74,929539",379,"30,182058","950,118734","9,485623","299,092708",
1642629,639,636,,,,,,,3,1,20,",289686","5,552195",,1,43,132,"1,992424","35,454545",",633013","11,272013",463,"2,485961","54,654428",",749361","16,493569",,492,24,57,3,"173,508772",",962184","55,686907",66,"4,060606","213,636364","1,24144","65,232227",,466,19,59,"4,220339","189,915254","1,118529","50,333801",95,"5,4",243,"1,638276","73,7224",,8,2,171,1,45,",321565","14,470443",458,"3,755459","214,355895","1,119482","63,836277",,4,88,115,"2,13913","142,173913",",693657","46,036",432,"4,199074","309,6875","1,265208","93,436756",,,63,4,"3,5",105,",95225","28,464775",572,"5,662587","215,201049","1,742317","65,794896",,625,,5,1,90,",274205","24,678431",9,2,180,",465025","41,852235",,15,270,122,"3,393443","89,139344",",998921","26,115086",232,"5,642241","169,590517","1,638609","48,952217",,1,9,207,"10,072464","293,115942","2,891169","84,018543",422,"13,255924","380,011848","4,080622","116,556947",,22,32,252,"5,793651","204,285714","1,715683","60,928773",333,"7,345345","250,810811","2,218692","76,074757",,4,3,3,"9,666667",290,"2,523333","75,7",629,"21,875994","666,629571","6,50943","198,386979",
1642630,484,6,,,,,,,478,"2,230126","33,535565",",757349","11,386682",,10,5,1,2,40,",823529","16,470588",468,"3,972222","109,786325","1,353119","37,469929",,389,34,22,3,140,"1,044281","48,733115",39,4,200,"1,366136","68,306799",,180,55,84,"3,166667","144,404762","1,033558","46,914932",165,"4,145455","197,878788","1,458816","69,62352",,223,,,,,,,261,"1,463602","87,471264",",497632","29,737236",,17,96,17,"1,823529","138,529412",",637479","48,787678",354,"2,740113","276,228814",",936684","94,436207",,,1,1,7,105,"2,45","36,75",482,"23,649378","537,728216","8,075387","183,553051",,2,45,4,3,95,",938195","29,563658",433,"3,025404","135,969977","1,040426","46,759716",,38,149,180,"1,8","72,333333",",624782","25,185153",117,"3,846154","178,717949","1,294523","59,89338",,6,35,34,"7,205882","234,705882","2,425609","78,860183",409,"17,176039","564,205379","5,8327","191,550159",,40,22,44,"4,75","193,863636","1,618757","66,031719",378,"9,949735","426,746032","3,376519","144,851715",,7,20,24,"7,375","223,125","2,547508","77,081495",433,"19,900693","642,332564","6,76457","218,515459",
1642631,236,88,,,,,,,148,"1,304054","19,560811",",408683","6,130252",,,,,,,,,236,"11,682203","293,75","3,595577","90,592635",,203,8,24,2,180,",639116","57,520456",1,3,270,",807692","72,692308",,19,17,34,"4,823529","167,647059","1,425947","49,859056",166,"9,783133","331,445783","2,993855","101,58778",,9,,,,,,,227,"3,471366","255,066079","1,05615","77,666663",,15,100,50,"2,14",132,",667738","40,991171",71,"3,549296","291,126761","1,035343","86,05053",,,,2,"2,5",110,",936765","41,742647",234,"5,350427","402,84188","1,63332","122,661003",,122,114,,,,,,,,,,,,223,1,1,1,60,",35",21,11,"5,545455","220,909091","1,666326","65,431248",,43,20,94,"8,37234","250,851064","2,523279","75,627007",79,"13,050633","391,139241","3,978101","119,227337",,3,9,33,"5,454545","163,636364","1,643893","49,316795",191,"10,298429","308,95288","3,128796","93,863891",,,2,9,"7,777778",250,"2,67285","86,080228",225,"21,64","682,133333","6,560423","206,75834",
