PDS,ANZ_S,RTS_E28010.0,RTS_E28010.1,RTS_E28010.3,RTS_E28010.3.MW_A_PR,RTS_E28010.3.MW_M_PR,RTS_E28010.3.MW_A_PW,RTS_E28010.3.MW_M_PW,RTS_E28010.4,RTS_E28010.4.MW_A_PR,RTS_E28010.4.MW_M_PR,RTS_E28010.4.MW_A_PW,RTS_E28010.4.MW_M_PW,RTS_E28010.9,RTS_E28020.0,RTS_E28020.1,RTS_E28020.3,RTS_E28020.3.MW_A_PR,RTS_E28020.3.MW_M_PR,RTS_E28020.3.MW_A_PW,RTS_E28020.3.MW_M_PW,RTS_E28020.4,RTS_E28020.4.MW_A_PR,RTS_E28020.4.MW_M_PR,RTS_E28020.4.MW_A_PW,RTS_E28020.4.MW_M_PW,RTS_E28020.9,RTS_E28030.0,RTS_E28030.1,RTS_E28030.3,RTS_E28030.3.MW_A_PR,RTS_E28030.3.MW_M_PR,RTS_E28030.3.MW_A_PW,RTS_E28030.3.MW_M_PW,RTS_E28030.4,RTS_E28030.4.MW_A_PR,RTS_E28030.4.MW_M_PR,RTS_E28030.4.MW_A_PW,RTS_E28030.4.MW_M_PW,RTS_E28030.9,RTS_E28040.0,RTS_E28040.1,RTS_E28040.3,RTS_E28040.3.MW_A_PR,RTS_E28040.3.MW_M_PR,RTS_E28040.3.MW_A_PW,RTS_E28040.3.MW_M_PW,RTS_E28040.4,RTS_E28040.4.MW_A_PR,RTS_E28040.4.MW_M_PR,RTS_E28040.4.MW_A_PW,RTS_E28040.4.MW_M_PW,RTS_E28040.9,RTS_E28050.0,RTS_E28050.1,RTS_E28050.3,RTS_E28050.3.MW_A_PR,RTS_E28050.3.MW_M_PR,RTS_E28050.3.MW_A_PW,RTS_E28050.3.MW_M_PW,RTS_E28050.4,RTS_E28050.4.MW_A_PR,RTS_E28050.4.MW_M_PR,RTS_E28050.4.MW_A_PW,RTS_E28050.4.MW_M_PW,RTS_E28050.9,RTS_E28060.0,RTS_E28060.1,RTS_E28060.3,RTS_E28060.3.MW_A_PR,RTS_E28060.3.MW_M_PR,RTS_E28060.3.MW_A_PW,RTS_E28060.3.MW_M_PW,RTS_E28060.4,RTS_E28060.4.MW_A_PR,RTS_E28060.4.MW_M_PR,RTS_E28060.4.MW_A_PW,RTS_E28060.4.MW_M_PW,RTS_E28060.9,RTS_E28070.0,RTS_E28070.1,RTS_E28070.3,RTS_E28070.3.MW_A_PR,RTS_E28070.3.MW_M_PR,RTS_E28070.3.MW_A_PW,RTS_E28070.3.MW_M_PW,RTS_E28070.4,RTS_E28070.4.MW_A_PR,RTS_E28070.4.MW_M_PR,RTS_E28070.4.MW_A_PW,RTS_E28070.4.MW_M_PW,RTS_E28070.9,RTS_E28080.0,RTS_E28080.1,RTS_E28080.3,RTS_E28080.3.MW_A_PR,RTS_E28080.3.MW_M_PR,RTS_E28080.3.MW_A_PW,RTS_E28080.3.MW_M_PW,RTS_E28080.4,RTS_E28080.4.MW_A_PR,RTS_E28080.4.MW_M_PR,RTS_E28080.4.MW_A_PW,RTS_E28080.4.MW_M_PW,RTS_E28080.9,RTS_E28090.0,RTS_E28090.1,RTS_E28090.3,RTS_E28090.3.MW_A_PR,RTS_E28090.3.MW_M_PR,RTS_E28090.3.MW_A_PW,RTS_E28090.3.MW_M_PW,RTS_E28090.4,RTS_E28090.4.MW_A_PR,RTS_E28090.4.MW_M_PR,RTS_E28090.4.MW_A_PW,RTS_E28090.4.MW_M_PW,RTS_E28090.9,RTS_E28100.0,RTS_E28100.1,RTS_E28100.3,RTS_E28100.3.MW_A_PR,RTS_E28100.3.MW_M_PR,RTS_E28100.3.MW_A_PW,RTS_E28100.3.MW_M_PW,RTS_E28100.4,RTS_E28100.4.MW_A_PR,RTS_E28100.4.MW_M_PR,RTS_E28100.4.MW_A_PW,RTS_E28100.4.MW_M_PW,RTS_E28100.9,RTS_E28110.0,RTS_E28110.1,RTS_E28110.3,RTS_E28110.3.MW_A_PR,RTS_E28110.3.MW_M_PR,RTS_E28110.3.MW_A_PW,RTS_E28110.3.MW_M_PW,RTS_E28110.4,RTS_E28110.4.MW_A_PR,RTS_E28110.4.MW_M_PR,RTS_E28110.4.MW_A_PW,RTS_E28110.4.MW_M_PW,RTS_E28110.9,RTS_E28120.0,RTS_E28120.1,RTS_E28120.3,RTS_E28120.3.MW_A_PR,RTS_E28120.3.MW_M_PR,RTS_E28120.3.MW_A_PW,RTS_E28120.3.MW_M_PW,RTS_E28120.4,RTS_E28120.4.MW_A_PR,RTS_E28120.4.MW_M_PR,RTS_E28120.4.MW_A_PW,RTS_E28120.4.MW_M_PW,RTS_E28120.9,RTS_E28130.0,RTS_E28130.1,RTS_E28130.3,RTS_E28130.3.MW_A_PR,RTS_E28130.3.MW_M_PR,RTS_E28130.3.MW_A_PW,RTS_E28130.3.MW_M_PW,RTS_E28130.4,RTS_E28130.4.MW_A_PR,RTS_E28130.4.MW_M_PR,RTS_E28130.4.MW_A_PW,RTS_E28130.4.MW_M_PW,RTS_E28130.9,RTS_E28140.0,RTS_E28140.1,RTS_E28140.3,RTS_E28140.3.MW_A_PR,RTS_E28140.3.MW_M_PR,RTS_E28140.3.MW_A_PW,RTS_E28140.3.MW_M_PW,RTS_E28140.4,RTS_E28140.4.MW_A_PR,RTS_E28140.4.MW_M_PR,RTS_E28140.4.MW_A_PW,RTS_E28140.4.MW_M_PW,RTS_E28140.9
1650124,375,,,3,"19,666667",640,"5,167901","169,912037",372,"54,973118","1747,634409","13,50438","429,697567",,,166,68,"6,235294","164,338235","1,566878","41,037594",141,"10,48227","289,680851","2,480278","68,607912",,3,69,9,"4,222222","193,333333","1,227749","51,679677",294,"14,057823","619,693878","3,418742","150,939935",,,98,156,"7,25641","435,384615","1,700466","102,027934",121,"8,702479","515,454545","2,268638","134,440516",,135,227,9,"22,555556","1116,666667","5,23377","250,149369",4,"30,5","1717,5","6,395011","358,770933",,116,67,46,"7,804348","186,304348","2,030754","47,975111",146,"18,589041","478,082192","4,368647","112,522201",,38,,19,1,60,",301718","18,103062",318,"2,754717","165,283019",",699558","41,973448",,1,159,62,"4,387097","118,306452","1,097714","29,537469",153,"11,993464","293,235294","3,078737","74,095466",,36,172,66,"2,060606","90,909091",",554378","24,442486",101,"3,653465","164,405941",",902896","40,698979",,256,116,3,3,180,",725926","43,555556",,,,,,,103,110,111,"4,792793","181,081081","1,280593","48,071718",51,"5,941176","238,823529","1,726249","67,854096",,305,15,9,3,180,",843038","50,58227",46,"4,782609","286,956522","1,16118","69,670826",,1,,129,1,30,",270162","8,104876",245,"2,179592","93,265306",",548346","23,617896",,121,,,,,,,254,1,"29,940945",",254266","7,615835",
1650125,161,,5,14,"20,214286","625,714286","4,805217","148,857584",142,"41,352113","1365,316901","10,048534","331,210273",,24,46,12,"6,333333",155,"1,734164","41,994382",79,"12,582278","317,658228","3,043775","76,746187",,32,7,14,"6,214286","204,642857","1,560303","51,073805",108,"12,777778","544,537037","3,008102","128,642525",,43,39,21,"15,47619","392,857143","3,953268","100,501179",58,"18,206897","605,948276","4,440133","148,063557",,85,40,3,"24,666667",920,"6,039216","222,558824",33,"44,515152","1565,454545","10,944882","381,845094",,23,21,26,"6,692308","191,538462","1,683291","48,210522",91,"12,692308","370,32967","3,1702","92,354278",,37,17,47,2,60,",525783","15,773481",60,"3,3",99,",783958","23,518728",,,2,9,"7,222222","116,666667","1,685252","27,621269",150,"15,966667","318,366667","3,96913","79,434298",,7,100,9,3,90,",709932","21,297972",45,"6,377778","378,666667","1,640643","96,446588",,39,35,16,5,"198,4375","1,21558","48,431046",71,8,"426,619718","1,889336","100,186733",,53,32,19,"6,368421","193,421053","1,654565","50,124552",57,"11,175439","343,157895","2,805049","86,314703",,140,4,12,3,150,",77896","38,947985",5,"4,2",210,",907407","45,370371",,3,16,17,"1,176471",30,",309741","7,883174",125,"2,592","72,84",",638341","17,565398",,49,,,,,,,112,"1,035714","30,133929",",263747","7,676965",
1650126,237,,1,1,9,480,"3,15",168,235,"56,86383","2054,680851","12,417896","449,876688",,82,93,1,3,300,",381818","38,181818",61,"17,688525","1118,852459","3,782505","243,331141",,58,29,6,"10,166667","246,666667","2,108624","50,812792",144,"28,881944","809,270833","6,220392","174,299503",,92,107,14,"11,357143","410,357143","2,515935","92,139153",24,"21,958333",710,"4,799685","155,536952",,150,81,5,"36,6",1383,"6,515674","244,685773",1,26,1200,"7,583333",350,,69,48,59,"12,745763","236,779661","2,697151","50,104549",61,"20,065574","412,459016","4,373709","89,723175",,237,,,,,,,,,,,,,1,29,18,"5,666667","121,388889","1,28989","28,228828",189,"9,455026","300,47619","2,069038","66,557188",,44,63,41,"2,439024","100,121951",",555578","22,840625",89,"11,820225","412,41573","2,656868","91,716733",,43,101,31,"4,806452","233,225806",",995965","48,496373",62,"12,322581","584,274194","2,503653","119,823811",,97,27,10,"4,2",237,",869281","49,06473",103,"8,815534","492,087379","1,918355","106,795557",,222,3,6,"3,333333",150,",64226","28,901678",6,"5,333333",240,"1,311472","59,01626",,190,,27,1,30,",24189","7,256697",20,"1,85","61,5",",386192","12,811425",,236,,,,,,,1,1,15,",259259","3,888889",
1650127,340,,4,17,"18,529412","563,235294","5,268209","160,725995",319,"36,789969","1251,69279","9,401714","321,358342",,204,79,20,"2,3","172,5",",589386","42,937787",37,"7,297297","451,216216","1,41628","102,095176",,109,71,46,"6,195652","211,304348","1,443751","49,372168",114,"10,04386","372,061404","2,46438","92,716835",,12,81,94,"10,12766","390,159574","2,580419","99,602411",153,18,"760,392157","4,54769","190,922946",,161,171,7,"31,714286","1210,714286","6,493157","246,663618",1,67,2820,"12,025641","506,153846",,25,21,25,"10,44","188,8","2,790328","49,657505",269,"23,728625","485,241636","6,119477","125,39087",,162,,46,1,60,",275206","16,512338",132,2,120,",53208","31,92479",,2,52,78,"5,307692","121,217949","1,443378","33,615654",208,"6,961538","210,889423","1,816581","55,66492",,119,73,23,"1,652174","98,913043",",430567","25,518933",125,"2,848","176,6",",749204","46,607615",,231,36,26,"3,576923","194,038462",",922293","49,879582",47,"5,042553","320,425532","1,378769","88,09829",,159,21,20,"5,95","224,5","1,384356","51,624606",140,"10,264286","377,107143","2,785758","103,33734",,257,26,50,"2,62","169,4",",69017","44,586497",7,"3,142857","218,571429",",843976","58,707941",,69,50,47,"1,404255","31,170213",",387975","8,670532",174,"3,902299","98,304598",",991644","25,307779",,323,,,,,,,17,"1,705882","46,764706",",404147","10,818523",
1650128,644,,4,21,"18,428571","741,428571","3,840432","153,698047",619,"38,714055","1598,772213","9,097219","376,539879",,145,115,51,"6,078431","191,666667","1,380415","43,367841",333,"20,231231","655,720721","4,520398","146,406463",,96,55,38,"6,973684","218,289474","1,65307","51,963653",455,"20,793407","890,736264","4,680896","199,703488",,58,175,64,"10,453125","447,5","2,27826","100,173698",347,"19,314121","833,51585","4,555201","197,474051",,370,216,38,"26,815789","1107,236842","5,876656","242,588358",20,"50,2","2069,25","10,184383","419,261859",,170,246,115,"7,304348",215,"1,67325","48,981297",113,"11,654867","349,513274","2,761767","82,526288",,201,,98,1,60,",254595","15,275701",345,"5,04058","302,434783","1,193087","71,585208",,14,91,27,"3,962963","124,62963",",978978","32,220149",512,"6,951172","326,396484","1,666268","78,291007",,439,139,1,3,90,",617647","18,529412",65,"1,507692","138,461538",",332678","30,792265",,178,305,41,"4,560976","218,04878","1,017396","48,323851",120,"11,091667","668,875","2,199272","131,247213",,324,100,100,"4,06","217,6",",914077","49,432753",120,"6,275","321,791667","1,455926","75,143454",,608,10,7,3,180,",759804","45,588236",19,"4,105263","246,315789","1,048206","62,892352",,140,12,56,"1,767857",30,",451924","7,675702",436,"5,46789","109,575688","1,24285","24,546657",,220,,,,,,,424,"1,301887","19,528302",",309159","4,637392",
1650129,249,,1,11,"18,727273","563,181818","4,997687","150,475252",237,"55,902954","1856,962025","12,93456","429,042356",,,81,18,"8,833333","194,722222","1,961314","41,427171",150,"17,08","428,3","4,041895","102,385371",,23,34,17,7,"231,176471","1,538062","50,716385",175,"12,56","508,628571","3,032183","123,085011",,40,29,23,"9,347826",460,"2,094512","102,439774",157,"14,095541","685,095541","3,244191","157,966718",,132,101,8,"23,25","1057,5","5,179432","236,955471",8,"30,25","1346,25","7,327527","325,938427",,41,21,31,"8,967742","217,741935","2,135413","50,78373",156,"16,391026","418,974359","3,813821","97,265482",,37,29,3,1,60,",241467","14,488018",180,"2,233333","114,083333",",541648","27,672777",,,17,23,"4,043478","117,826087","1,139711","33,372788",209,"7,38756","342,129187","1,790993","82,856776",,45,39,9,"2,222222","101,666667",",641804","29,525591",156,"3,634615","231,858974",",846903","54,029354",,43,26,17,"2,470588","197,647059",",591989","46,565305",163,"4,503067","382,423313","1,032428","87,63092",,91,46,53,"5,943396","225,471698","1,335784","50,262795",59,"10,237288","382,20339","2,440882","92,122925",,207,14,5,3,180,",787614","47,256863",23,"4,565217","273,478261",",989133","59,226237",,5,3,2,2,30,",520732","7,810976",239,"5,154812","162,531381","1,257179","39,823201",,45,,,,,,,204,"1,308824","19,95098",",32261","4,923751",
1650130,32,,,,,,,,32,"41,59375","1424,84375","9,615502","327,93208",,31,1,,,,,,,,,,,,3,9,4,"5,75",210,"1,482184","51,965517",16,"13,1875",450,"2,858919","98,906232",,,7,9,"10,111111","403,333333","2,556649","102,662835",16,"20,375","855,9375","4,608512","190,93079",,15,15,2,31,"1132,5","7,34828","271,335995",,,,,,,2,4,2,9,180,"2,539563","50,791246",24,"20,791667","517,083333","4,753477","117,86172",,30,,2,1,60,",225","13,5",,,,,,,,21,8,"5,375","109,375","1,039828","21,63142",3,"6,333333","216,666667","1,266667","44,992593",,7,8,2,2,105,",500639","26,283525",15,"2,466667","144,666667",",55968","32,856786",,24,2,3,"3,333333",205,",806811","47,334611",3,"4,666667",310,"1,094474","76,336898",,12,7,3,6,235,"1,420259","55,447198",10,"9,6","369,5","2,422454","93,692726",,26,1,5,"2,6",165,",616806","39,014583",,,,,,,4,12,1,2,40,",5",10,15,"3,866667",98,",90705","22,833141",,31,,,,,,,1,1,15,",28","4,2",
1650131,127,,,,,,,,127,"49,700787","1538,818898","14,567928","451,074145",,1,4,5,"19,8",188,"4,907071","46,57239",117,"21,760684","247,094017","6,400708","70,951931",,38,7,15,"4,133333",168,"1,182332","47,584921",67,"15,373134","477,761194","4,33185","135,14338",,17,23,30,"10,433333",342,"3,024703","100,011988",57,"15,666667","588,947368","4,579111","172,744348",,62,54,8,"30,625","916,25","8,097399","242,495147",3,46,1490,"9,908384","321,850913",,21,48,35,"6,028571","165,142857","1,812289","49,893055",23,"10,043478","251,304348","2,962638","75,097294",,127,,,,,,,,,,,,,29,77,21,2,135,",568829","38,395965",,,,,,,86,29,10,2,90,",605684","27,255747",2,"2,5",120,",875",42,,106,11,7,"3,428571","158,571429","1,096296","50,055555",3,"3,666667",210,"1,21453","69,371795",,49,8,11,"3,727273","177,272727","1,059215","50,378256",59,"7,322034","379,576271","2,19046","113,033517",,127,,,,,,,,,,,,,1,,12,1,30,",300806","9,024187",114,"3,254386","90,964912",",959266","27,008205",,126,,,,,,,1,1,30,",145833","4,375",
1650132,169,,2,3,24,740,"4,845271","149,475796",164,"55,841463","1726,829268","12,657342","391,351064",,16,93,3,6,160,"1,555556","41,481482",57,"26,315789","575,614035","5,520951","122,466266",,1,31,5,"6,6",228,"1,539042","51,555868",132,"18,80303","657,5","4,220241","147,673432",,1,96,29,"15,931034","445,517241","3,442289","97,255208",43,31,"829,651163","6,709298","180,212802",,56,108,4,42,1290,"7,835601","240,928706",1,38,1140,"12,666667",380,,85,32,18,"8,333333","203,888889","1,979224","47,938451",34,"20,823529","516,617647","4,444874","111,823321",,33,30,24,"1,541667",60,",329069","13,356823",82,"2,841463","129,573171",",651059","29,891197",,9,62,58,"3,068966","117,327586",",718398","27,174706",40,"8,575","185,125","1,976598","43,420708",,19,34,9,2,90,",540591","24,326592",107,"15,186916","558,504673","3,45592","127,471995",,13,150,5,5,234,"1,127139","53,156511",1,5,270,"1,296296",70,,12,30,34,"7,441176","254,705882","1,565879","53,941078",93,"8,967742","303,870968","2,089347","71,267077",,137,12,7,3,180,",679021","40,741272",13,"4,230769","253,846154",",90284","54,170407",,71,2,59,1,30,",236033","7,081",37,"2,189189","66,486486",",467812","14,172788",,159,,,,,,,10,"1,1",30,",24683","6,427625",
1650133,158,,,4,"26,5",805,"5,149901","158,249012",154,"54,279221","2016,071429","13,291195","493,735223",,2,37,27,"5,296296","175,740741","1,211318","41,65257",92,"20,195652",375,"4,76434","90,559177",,2,41,42,"6,833333",205,"1,666812","50,004356",73,"19,068493","588,493151","4,337186","133,762187",,1,21,15,"16,4",492,"3,498261","104,94782",121,"19,818182","592,561983","4,833277","144,582036",,96,39,9,"31,222222","1233,333333","7,092562","280,635439",14,"39,428571","1549,285714","8,125936","323,691338",,12,46,15,"6,6",184,"1,681497","47,539875",85,"14,235294","391,705882","3,321482","91,574215",,3,,20,1,60,",265275","15,916518",135,2,120,",505128","30,307653",,2,2,4,4,135,"1,052729","35,529605",150,"6,586667",228,"1,654262","57,565953",,2,10,1,3,90,",4375","13,125",145,"4,351724","133,758621","1,116809","34,363166",,4,12,45,"4,088889","238,666667",",846856","49,47614",97,"4,484536","255,773196","1,262221","72,559481",,3,80,12,8,240,"1,6282","48,846",63,"9,968254","299,047619","2,547709","76,431272",,139,6,6,3,180,",797062","47,823702",7,"4,142857","244,285714","1,087631","63,953509",,,,1,2,30,",56","8,4",157,"4,757962","142,547771","1,175284","35,146057",,3,,,,,,,155,"1,122581",33,",284264","8,434419",
