PDS,ANZ_S,RTS_E55010.0,RTS_E55010.1,RTS_E55010.3,RTS_E55010.3.MW_A_PR,RTS_E55010.3.MW_M_PR,RTS_E55010.3.MW_A_PW,RTS_E55010.3.MW_M_PW,RTS_E55010.4,RTS_E55010.4.MW_A_PR,RTS_E55010.4.MW_M_PR,RTS_E55010.4.MW_A_PW,RTS_E55010.4.MW_M_PW,RTS_E55010.9,RTS_E55020.0,RTS_E55020.1,RTS_E55020.3,RTS_E55020.3.MW_A_PR,RTS_E55020.3.MW_M_PR,RTS_E55020.3.MW_A_PW,RTS_E55020.3.MW_M_PW,RTS_E55020.4,RTS_E55020.4.MW_A_PR,RTS_E55020.4.MW_M_PR,RTS_E55020.4.MW_A_PW,RTS_E55020.4.MW_M_PW,RTS_E55020.9,RTS_E55030.0,RTS_E55030.1,RTS_E55030.3,RTS_E55030.3.MW_A_PR,RTS_E55030.3.MW_M_PR,RTS_E55030.3.MW_A_PW,RTS_E55030.3.MW_M_PW,RTS_E55030.4,RTS_E55030.4.MW_A_PR,RTS_E55030.4.MW_M_PR,RTS_E55030.4.MW_A_PW,RTS_E55030.4.MW_M_PW,RTS_E55030.9,RTS_E55040.0,RTS_E55040.1,RTS_E55040.3,RTS_E55040.3.MW_A_PR,RTS_E55040.3.MW_M_PR,RTS_E55040.3.MW_A_PW,RTS_E55040.3.MW_M_PW,RTS_E55040.4,RTS_E55040.4.MW_A_PR,RTS_E55040.4.MW_M_PR,RTS_E55040.4.MW_A_PW,RTS_E55040.4.MW_M_PW,RTS_E55040.9,RTS_E55050.0,RTS_E55050.1,RTS_E55050.3,RTS_E55050.3.MW_A_PR,RTS_E55050.3.MW_M_PR,RTS_E55050.3.MW_A_PW,RTS_E55050.3.MW_M_PW,RTS_E55050.4,RTS_E55050.4.MW_A_PR,RTS_E55050.4.MW_M_PR,RTS_E55050.4.MW_A_PW,RTS_E55050.4.MW_M_PW,RTS_E55050.9,RTS_E55060.0,RTS_E55060.1,RTS_E55060.3,RTS_E55060.3.MW_A_PR,RTS_E55060.3.MW_M_PR,RTS_E55060.3.MW_A_PW,RTS_E55060.3.MW_M_PW,RTS_E55060.4,RTS_E55060.4.MW_A_PR,RTS_E55060.4.MW_M_PR,RTS_E55060.4.MW_A_PW,RTS_E55060.4.MW_M_PW,RTS_E55060.9,RTS_E55070.0,RTS_E55070.1,RTS_E55070.3,RTS_E55070.3.MW_A_PR,RTS_E55070.3.MW_M_PR,RTS_E55070.3.MW_A_PW,RTS_E55070.3.MW_M_PW,RTS_E55070.4,RTS_E55070.4.MW_A_PR,RTS_E55070.4.MW_M_PR,RTS_E55070.4.MW_A_PW,RTS_E55070.4.MW_M_PW,RTS_E55070.9,RTS_E55080.0,RTS_E55080.1,RTS_E55080.3,RTS_E55080.3.MW_A_PR,RTS_E55080.3.MW_M_PR,RTS_E55080.3.MW_A_PW,RTS_E55080.3.MW_M_PW,RTS_E55080.4,RTS_E55080.4.MW_A_PR,RTS_E55080.4.MW_M_PR,RTS_E55080.4.MW_A_PW,RTS_E55080.4.MW_M_PW,RTS_E55080.9,RTS_E55090.0,RTS_E55090.1,RTS_E55090.3,RTS_E55090.3.MW_A_PR,RTS_E55090.3.MW_M_PR,RTS_E55090.3.MW_A_PW,RTS_E55090.3.MW_M_PW,RTS_E55090.4,RTS_E55090.4.MW_A_PR,RTS_E55090.4.MW_M_PR,RTS_E55090.4.MW_A_PW,RTS_E55090.4.MW_M_PW,RTS_E55090.9
7821122,418,,1,8,"19,125","615,625","6,466898","207,8125",409,"46,02934","1471,002445","14,226539","454,347976",,90,139,77,"5,116883","234,090909","1,617694","73,702153",112,"8,741071","429,285714","2,65348","129,93397",,27,37,19,"4,315789","166,578947","1,305166","50,422515",335,"14,441791","473,910448","4,440584","145,576509",,15,128,156,"2,929487","136,538462",",916984","42,98703",119,"4,394958","226,260504","1,407072","72,501298",,95,276,47,2,"104,680851",",62988","32,956995",,,,,,,4,,12,1,30,",32885","9,865497",402,"3,266169","137,164179","1,030553","43,334732",,3,42,13,"1,923077",45,",625812","14,565385",360,"5,036111",175,"1,569578","54,811125",,,,,,,,,418,"6,016746","173,911483","1,894157","54,666684",,134,47,55,"4,727273","155,727273","1,499189","48,853963",182,"11,313187","378,104396","3,42002","114,21496",
7821123,603,,10,32,"21,90625","670,3125","6,727302","206,158438",561,"36,215686","1128,279857","11,356389","354,077029",,89,492,14,"4,571429","235,714286","1,399762","72,944874",8,"6,875","423,75","2,065972","125,854167",,179,135,181,"4,745856","147,513812","1,555731","48,136918",108,"7,694444","254,398148","2,413327","79,581849",,,403,164,"4,292683","135,70122","1,347929","42,631838",36,"5,527778","214,305556","1,643254","64,186645",,362,228,,,,,,13,2,120,",574359","34,461538",,275,2,,,,,,326,"37,57362","596,779141","11,609423","184,402005",,148,207,128,1,45,",311266","14,00696",120,"2,158333","73,75",",666042","22,825435",,17,,,,,,,586,"1,235495","18,532423",",392524","5,887857",,405,40,19,"3,473684","154,210526","1,137626","49,979786",139,"7,294964","381,978417","2,272262","119,009167",
7821124,38,,,2,"14,5",570,"4,868182","190,909091",36,"41,583333","1745,972222","13,325981","561,060442",,7,14,2,"4,5",300,"1,166667","77,777778",15,"7,466667",504,"2,425802","164,240741",,10,,6,"2,666667","147,5",",841807","47,267677",22,"5,227273","313,636364","1,73468","104,080808",,,3,1,3,135,"1,05","47,25",34,"4,941176","308,382353","1,587126","99,131713",,37,,1,1,90,",259259","23,333333",,,,,,,,,,,,,,38,"3,710526","174,210526","1,163549","54,976537",,,,,,,,,38,"1,657895","72,236842",",531093","23,373267",,,,,,,,,38,"1,342105","25,657895",",432506","8,217586",,30,,1,5,150,"1,75","52,5",7,"5,714286","282,857143","1,79899","91,121212",
7821125,42,,1,1,22,630,"7,7","220,5",40,"49,4","1715,875","14,684139","514,115948",,6,28,8,"4,375","243,75","1,34509","75,267909",,,,,,,4,30,7,"3,428571","154,285714","1,045207","47,034314",1,16,945,"3,294118","194,558824",,,15,18,"3,555556","155,833333","1,042628","46,070829",9,"4,333333",205,"1,480065","69,78268",,42,,,,,,,,,,,,,26,,1,1,30,",259259","7,777778",15,5,200,"1,687946","64,784801",,28,4,4,1,45,",33125","14,90625",6,"2,5",80,",727451","23,933824",,,,,,,,,42,"1,190476","23,214286",",369955","7,211094",,39,1,,,,,,2,10,300,"2,635294","79,058824",
7821126,352,,21,58,"20,655172","621,810345","6,661882","200,831586",273,"32,3663","1047,930403","10,056069","326,22946",,82,113,66,"3,015152","237,19697",",929143","73,495559",91,"5,472527","445,054945","1,74901","142,48769",,45,88,125,"4,544","153,6","1,417794","48,014554",94,"6,031915","260,106383","1,918696","82,547341",,26,121,181,"2,01105","149,502762",",639617","47,561596",24,"3,166667","211,875","1,007477","67,206593",,212,24,,,,,,116,"2,405172","144,310345",",737456","44,247354",,59,,43,1,30,",325456","9,763671",250,"11,624","355,66","3,496691","107,136814",,,130,86,"2,697674","48,837209",",853211","15,436307",136,"4,264706","99,264706","1,306428","30,718278",,5,,,,,,,347,"1,146974","33,760807",",363968","10,736904",,193,36,42,"4,928571","154,285714","1,545588","48,055666",81,"6,703704","429,62963","2,078317","134,133561",
7821127,611,,,16,"25,125","773,4375","7,037953","216,052203",595,"41,201681","1385,722689","13,163246","442,069501",,142,179,134,"3,477612","235,746269","1,135691","77,275074",156,"6,794872","471,634615","2,081807","144,403859",,82,61,113,"4,088496","184,734513","1,128585","50,976979",355,"4,966197","225,915493","1,68544","76,692015",,,145,170,"3,858824","150,441176","1,259957","49,109408",296,"5,361486","219,64527","1,727645","70,424827",,347,200,3,2,100,",7",35,61,"2,032787","122,04918",",656661","39,398595",,,,,,,,,611,"5,860884","174,222586","1,886599","56,349033",,,,1,1,45,",35","15,75",610,"5,093443","265,5","1,66374","86,636011",,60,,,,,,,551,1,45,",325813","14,661591",,153,82,76,"2,644737","151,973684",",797734","45,778098",300,"5,003333","291,4","1,592562","92,648173",
7821128,698,,2,30,"22,066667",672,"6,85508","208,260322",666,"39,433934","1295,24024","13,455164","442,374615",,162,135,219,"3,210046","197,39726","1,101316","67,569198",182,"5,917582","396,593407","2,006043","134,520101",,3,39,35,"4,542857","169,285714","1,391826","52,406221",621,"6,634461","251,835749","2,272279","86,199213",,,55,180,"5,022222","150,666667","1,728841","51,839445",463,"6,796976","229,395248","2,31567","78,33334",,62,36,,,,,,600,"2,028333","121,7",",695701","41,742086",,16,,2,1,30,",35","10,5",680,"2,847059","128,477941",",962633","43,736099",,84,1,82,1,45,",344835","15,517595",531,"2,47081","109,745763",",845192","37,585762",,247,,,,,,,451,"1,126386","18,758315",",38405","6,389816",,333,278,8,"3,625",135,"1,273355","47,526316",79,12,"410,506329","4,043702","138,183998",
7821129,222,,,1,37,1110,"7,848485","235,454545",221,"59,737557","1797,217195","17,320157","520,926091",,76,144,2,5,300,"1,242657","74,559387",,,,,,,84,54,40,"5,175","158,625","1,537234","47,142407",44,"8,863636","281,25","2,576378","81,378885",,,11,92,"4,630435","133,75","1,345503","39,334249",119,"5,747899","214,033613","1,685555","62,815686",,222,,,,,,,,,,,,,1,,,,,,,221,"2,239819","209,728507",",66298","62,331156",,,2,36,2,45,",613143","13,795709",184,"3,679348","120,163043","1,081495","35,51224",,68,,,,,,,154,"1,701299","51,038961",",503305","15,099154",,91,85,10,"6,2",183,"1,746962","51,691836",36,"13,25","397,5","3,80207","113,783728",
7821130,34,,,,,,,,34,"69,588235","2102,5","18,68229","566,142656",,10,18,3,5,270,"1,262491","69,341685",3,"6,666667","396,666667","2,333333","138,833333",,9,4,5,"3,6",180,"1,04329","52,164488",16,"6,5",325,"1,741231","87,061547",,1,22,7,3,"154,285714",",910458","47,137255",4,"4,5","243,75",",934269","50,604946",,29,,4,2,100,",7",35,1,3,150,"1,05","52,5",,3,,,,,,,31,"9,225806","189,83871","2,258326","47,642154",,,,2,2,45,",7","15,75",32,"4,5","109,6875","1,194664","28,974638",,,,,,,,,34,1,15,",282206","4,233096",,8,20,2,"5,5",235,"1,33165","54,326599",4,"10,25","278,75","3,119118","85,492647",
7821131,83,,,2,20,600,7,210,81,"49,864198","1513,703704","16,267604","493,828535",,,47,33,4,"222,727273","1,34264","74,605774",3,5,"283,333333","1,832353","103,696078",,13,10,12,"3,333333",150,"1,102324","49,604575",48,"6,083333","273,75","2,005136","90,231136",,,,1,3,165,"1,235294","67,941176",82,"5,256098","275,304878","1,736571","91,048726",,83,,,,,,,,,,,,,8,1,11,1,30,",339117","10,1735",63,"2,190476","88,253968",",709852","28,65778",,5,1,,,,,,77,"3,181818","119,090909","1,057636","39,541313",,,,34,1,10,",340651","3,40651",49,"2,510204","33,571429",",810222","10,812354",,41,3,,,,,,39,"9,923077","438,846154","3,049591","135,500768",
