ID;RTS_nr;JAHR;MPDS;PDS;KRIT_NR;AUSPRAEGUNG;LL_UG_NR;AUSPR2;RTS_TYP1;ANZ_S;ANZ_UG;MW_A_PR;MW_M_PR;MW_A_PW;MW_M_PW;filter_$
140044894;21;2017;1666474;1666475;1202;E21130;0;D579;9;145;1;1;45;,069307;3,118812;0
140044895;21;2017;1666474;1666475;1202;E21130;0;D573;9;145;1;1;45;,067308;3,028846;0
140044896;21;2017;1666474;1666475;1202;E21130;0;D572;9;145;8;1,125;33,75;,076328;2,308064;0
140044897;21;2017;1666474;1666475;1202;E21130;0;D571;9;145;134;1,268657;60,783582;,086443;4,148419;0
140044898;21;2017;1666474;1666475;1202;E21120;0;E671;9;145;1;2;450;,134615;30,288462;0
140044899;21;2017;1666474;1666475;1202;E21120;0;D593;9;145;81;1,888889;104,259259;,128514;7,085048;0
140044900;21;2017;1666474;1666475;1202;E21120;0;D591;9;145;27;2;110;,13818;7,639463;0
140044901;21;2017;1666474;1666475;1202;E21120;0;D563;9;145;28;1,035714;91,607143;,070447;6,232027;0
140044902;21;2017;1666474;1666475;1202;E21120;0;D561;9;145;5;1,2;36;,081569;2,453065;0
140044903;21;2017;1666474;1666475;1202;E21120;0;D553;9;145;138;1,717391;66,630435;,116626;4,507423;0
140044904;21;2017;1666474;1666475;1202;E21120;0;D552;9;145;18;1,166667;48,333333;,079948;3,30384;0
140044905;21;2017;1666474;1666475;1202;E21120;0;C580;9;145;5;1;90;,067308;6,057692;0
140044906;21;2017;1666474;1666475;1202;E21120;0;C551;9;145;144;5,263889;259,270833;,358191;17,642192;0
140044907;21;2017;1666474;1666475;1202;E21110;0;L570;9;145;126;20,587302;0;1,399539;0;0
140044908;21;2017;1666474;1666475;1202;E21110;0;E660;9;145;144;22,194444;2196,909722;1,504292;149,014724;0
140044909;21;2017;1666474;1666475;1202;E21100;0;M630;9;145;9;1;123,333333;,065721;8,063326;0
140044910;21;2017;1666474;1666475;1202;E21100;0;M600;9;145;5;1;60;,064452;3,867133;0
140044911;21;2017;1666474;1666475;1202;E21100;0;M551;9;145;3;1,666667;60;,112179;4,038462;0
140044912;21;2017;1666474;1666475;1202;E21100;0;C632;9;145;49;1,44898;80,816327;,09852;5,491628;0
140044913;21;2017;1666474;1666475;1202;E21090;0;H560;9;145;1;3;45;,201923;3,028846;0
140044914;21;2017;1666474;1666475;1202;E21090;0;F589;9;145;145;10,896552;655,241379;,73757;44,354953;0
140044915;21;2017;1666474;1666475;1202;E21090;0;C805;9;145;142;2;90,211268;,136581;6,160208;0
140044916;21;2017;1666474;1666475;1202;E21090;0;C613;9;145;143;8,440559;478,426573;,574456;32,551412;0
140044917;21;2017;1666474;1666475;1202;E21090;0;C611;9;145;144;1,013889;60,833333;,069188;4,151265;0
140044918;21;2017;1666474;1666475;1202;E21080;0;L559;9;145;140;9,864286;1005,642857;,671303;68,516819;0
