ID;RTS_nr;JAHR;MPDS;PDS;KRIT_NR;AUSPRAEGUNG;LL_UG_NR;AUSPR2;RTS_TYP1;ANZ_S;ANZ_UG;MW_A_PR;MW_M_PR;MW_A_PW;MW_M_PW;filter_$
142910935;30;2017;1683076;1683079;1202;E30130;0;D579;9;215;1;1;30;,259259;7,777778;0
142910936;30;2017;1683076;1683079;1202;E30130;0;D573;9;215;182;1,120879;16,813187;,283097;4,246457;0
142910937;30;2017;1683076;1683079;1202;E30130;0;D572;9;215;3;1;30;,241467;7,244009;0
142910938;30;2017;1683076;1683079;1202;E30120;0;H810;9;215;2;1;37,5;,259259;9,722222;0
142910939;30;2017;1683076;1683079;1202;E30120;0;H800;9;215;2;9,5;860;2,462963;222,962963;0
142910940;30;2017;1683076;1683079;1202;E30120;0;H790;9;215;2;1,5;60;,300361;11,571816;0
142910941;30;2017;1683076;1683079;1202;E30120;0;D592;9;215;201;1;60;,252321;15,139278;0
142910942;30;2017;1683076;1683079;1202;E30120;0;D553;9;215;1;1;45;,259259;11,666667;0
142910943;30;2017;1683076;1683079;1202;E30120;0;D552;9;215;1;1;30;,259259;7,777778;0
142910944;30;2017;1683076;1683079;1202;E30120;0;C551;9;215;3;7;105;1,814815;27,222222;0
142910945;30;2017;1683076;1683079;1202;E30110;0;D593;9;215;36;1,916667;87,083333;,46125;20,972313;0
142910946;30;2017;1683076;1683079;1202;E30110;0;D563;9;215;1;1;30;,259259;7,777778;0
142910947;30;2017;1683076;1683079;1202;E30110;0;D562;9;215;1;1;60;,291667;17,5;0
142910948;30;2017;1683076;1683079;1202;E30100;0;L570;9;215;106;2,650943;119,575472;,657718;29,659728;0
142910949;30;2017;1683076;1683079;1202;E30100;0;L560;9;215;200;23,515;1708,05;5,675863;411,633274;0
142910950;30;2017;1683076;1683079;1202;E30100;0;H760;9;215;5;1;18;,241554;4,135501;0
142910951;30;2017;1683076;1683079;1202;E30100;0;H750;9;215;8;1,125;22,5;,27122;5,526628;0
